#           k/h    P           
   1.00000E-004   1.48637E+002
   1.02020E-004   1.51490E+002
   1.04081E-004   1.54398E+002
   1.06184E-004   1.57359E+002
   1.08329E-004   1.60377E+002
   1.10517E-004   1.63451E+002
   1.12750E-004   1.66582E+002
   1.15027E-004   1.69772E+002
   1.17351E-004   1.73021E+002
   1.19722E-004   1.76330E+002
   1.22140E-004   1.79702E+002
   1.24608E-004   1.83135E+002
   1.27125E-004   1.86632E+002
   1.29693E-004   1.90194E+002
   1.32313E-004   1.93822E+002
   1.34986E-004   1.97516E+002
   1.37713E-004   2.01278E+002
   1.40495E-004   2.05109E+002
   1.43333E-004   2.09010E+002
   1.46228E-004   2.12981E+002
   1.49182E-004   2.17026E+002
   1.52196E-004   2.21143E+002
   1.55271E-004   2.25335E+002
   1.58407E-004   2.29602E+002
   1.61607E-004   2.33947E+002
   1.64872E-004   2.38368E+002
   1.68203E-004   2.42869E+002
   1.71601E-004   2.47450E+002
   1.75067E-004   2.52113E+002
   1.78604E-004   2.56857E+002
   1.82212E-004   2.61685E+002
   1.85893E-004   2.66597E+002
   1.89648E-004   2.71596E+002
   1.93479E-004   2.76681E+002
   1.97388E-004   2.81853E+002
   2.01375E-004   2.87115E+002
   2.05443E-004   2.92467E+002
   2.09594E-004   2.97910E+002
   2.13828E-004   3.03445E+002
   2.18147E-004   3.09073E+002
   2.22554E-004   3.14795E+002
   2.27050E-004   3.20612E+002
   2.31637E-004   3.26525E+002
   2.36316E-004   3.32535E+002
   2.41090E-004   3.38643E+002
   2.45960E-004   3.44849E+002
   2.50929E-004   3.51154E+002
   2.55998E-004   3.57560E+002
   2.61170E-004   3.64066E+002
   2.66446E-004   3.70674E+002
   2.71828E-004   3.77383E+002
   2.77319E-004   3.84195E+002
   2.82922E-004   3.91110E+002
   2.88637E-004   3.98128E+002
   2.94468E-004   4.05250E+002
   3.00417E-004   4.12476E+002
   3.06485E-004   4.19805E+002
   3.12677E-004   4.27238E+002
   3.18993E-004   4.34776E+002
   3.25437E-004   4.42417E+002
   3.32012E-004   4.50161E+002
   3.38719E-004   4.58008E+002
   3.45561E-004   4.65958E+002
   3.52542E-004   4.74010E+002
   3.59664E-004   4.82163E+002
   3.66930E-004   4.90416E+002
   3.74342E-004   4.98768E+002
   3.81904E-004   5.07219E+002
   3.89619E-004   5.15765E+002
   3.97490E-004   5.24407E+002
   4.05520E-004   5.33142E+002
   4.13712E-004   5.41968E+002
   4.22070E-004   5.50883E+002
   4.30596E-004   5.59886E+002
   4.39295E-004   5.68973E+002
   4.48169E-004   5.78141E+002
   4.57222E-004   5.87389E+002
   4.66459E-004   5.96712E+002
   4.75882E-004   6.06107E+002
   4.85496E-004   6.15572E+002
   4.95303E-004   6.25101E+002
   5.05309E-004   6.34691E+002
   5.15517E-004   6.44338E+002
   5.25931E-004   6.54037E+002
   5.36556E-004   6.63784E+002
   5.47395E-004   6.73573E+002
   5.58453E-004   6.83399E+002
   5.69734E-004   6.93257E+002
   5.81244E-004   7.03141E+002
   5.92986E-004   7.13046E+002
   6.04965E-004   7.22964E+002
   6.17186E-004   7.32891E+002
   6.29654E-004   7.42819E+002
   6.42374E-004   7.52742E+002
   6.55350E-004   7.62653E+002
   6.68589E-004   7.72545E+002
   6.82096E-004   7.82412E+002
   6.95875E-004   7.92245E+002
   7.09933E-004   8.02038E+002
   7.24274E-004   8.11784E+002
   7.38906E-004   8.21475E+002
   7.53832E-004   8.31105E+002
   7.69061E-004   8.40665E+002
   7.84597E-004   8.50149E+002
   8.00447E-004   8.59551E+002
   8.16617E-004   8.68863E+002
   8.33114E-004   8.78078E+002
   8.49944E-004   8.87191E+002
   8.67114E-004   8.96196E+002
   8.84631E-004   9.05087E+002
   9.02501E-004   9.13859E+002
   9.20733E-004   9.22507E+002
   9.39333E-004   9.31027E+002
   9.58309E-004   9.39416E+002
   9.77668E-004   9.47670E+002
   9.97418E-004   9.55786E+002
   1.01757E-003   9.63764E+002
   1.03812E-003   9.71602E+002
   1.05910E-003   9.79299E+002
   1.08049E-003   9.86857E+002
   1.10232E-003   9.94275E+002
   1.12459E-003   1.00156E+003
   1.14730E-003   1.00870E+003
   1.17048E-003   1.01572E+003
   1.19413E-003   1.02261E+003
   1.21825E-003   1.02938E+003
   1.24286E-003   1.03603E+003
   1.26797E-003   1.04258E+003
   1.29358E-003   1.04902E+003
   1.31971E-003   1.05536E+003
   1.34637E-003   1.06162E+003
   1.37357E-003   1.06780E+003
   1.40132E-003   1.07391E+003
   1.42963E-003   1.07996E+003
   1.45851E-003   1.08596E+003
   1.48797E-003   1.09192E+003
   1.51803E-003   1.09784E+003
   1.54870E-003   1.10373E+003
   1.57998E-003   1.10961E+003
   1.61190E-003   1.11548E+003
   1.64446E-003   1.12135E+003
   1.67768E-003   1.12723E+003
   1.71158E-003   1.13312E+003
   1.74615E-003   1.13903E+003
   1.78143E-003   1.14496E+003
   1.81741E-003   1.15092E+003
   1.85413E-003   1.15692E+003
   1.89158E-003   1.16295E+003
   1.92980E-003   1.16902E+003
   1.96878E-003   1.17514E+003
   2.00855E-003   1.18130E+003
   2.04913E-003   1.18750E+003
   2.09052E-003   1.19375E+003
   2.13276E-003   1.20006E+003
   2.17584E-003   1.20641E+003
   2.21979E-003   1.21281E+003
   2.26464E-003   1.21927E+003
   2.31039E-003   1.22578E+003
   2.35706E-003   1.23235E+003
   2.40467E-003   1.23898E+003
   2.45325E-003   1.24567E+003
   2.50281E-003   1.25241E+003
   2.55337E-003   1.25923E+003
   2.60495E-003   1.26611E+003
