#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   2.49995E+003   1.36628E+000   1.51947E-003   1.36628E+000   4.31261E-002  -4.36997E-006   1.51947E-003  -4.36997E-006   2.17650E-009
     3   2.52448E+003   1.02059E+000   1.15461E-003   1.02059E+000   6.81082E-002  -3.37648E-006   1.15461E-003  -3.37648E-006   1.15432E-009
     4   2.48530E+003   1.18045E+000   9.20168E-004   1.18045E+000   7.36998E-002  -2.17814E-006   9.20168E-004  -2.17814E-006   7.29679E-010
     5   2.42538E+003   2.00059E+000   7.56189E-004   2.00059E+000   6.42225E-002  -1.06777E-006   7.56189E-004  -1.06777E-006   5.08372E-010
     6   2.35948E+003   3.36787E+000   6.35368E-004   3.36787E+000   5.10239E-002  -1.35578E-007   6.35368E-004  -1.35578E-007   3.76819E-010
     7   2.29443E+003   5.01710E+000   5.43116E-004   5.01710E+000   4.37895E-002   5.86464E-007   5.43116E-004   5.86464E-007   2.91697E-010
     8   2.23348E+003   6.65082E+000   4.70762E-004   6.65082E+000   4.61026E-002   1.09550E-006   4.70762E-004   1.09550E-006   2.33159E-010
     9   2.17900E+003   8.01958E+000   4.12855E-004   8.01958E+000   5.55250E-002   1.40694E-006   4.12855E-004   1.40694E-006   1.91036E-010
    10   2.13136E+003   8.96168E+000   3.65666E-004   8.96168E+000   6.64777E-002   1.54805E-006   3.65666E-004   1.54805E-006   1.59607E-010
    11   2.09134E+003   9.41429E+000   3.26754E-004   9.41429E+000   7.36292E-002   1.55409E-006   3.26754E-004   1.55409E-006   1.35510E-010
    12   2.05827E+003   9.39248E+000   2.94166E-004   9.39248E+000   7.40747E-002   1.46192E-006   2.94166E-004   1.46192E-006   1.16546E-010
    13   2.03199E+003   8.97474E+000   2.66678E-004   8.97474E+000   6.78874E-002   1.30806E-006   2.66678E-004   1.30806E-006   1.01380E-010
    14   2.01115E+003   8.26839E+000   2.43168E-004   8.26839E+000   5.72123E-002   1.12356E-006   2.43168E-004   1.12356E-006   8.90103E-011
    15   1.99496E+003   7.39448E+000   2.22909E-004   7.39448E+000   4.49531E-002   9.34011E-007   2.22909E-004   9.34011E-007   7.88043E-011
    16   1.98266E+003   6.46533E+000   2.05281E-004   6.46533E+000   3.35888E-002   7.57552E-007   2.05281E-004   7.57552E-007   7.02696E-011
    17   1.97366E+003   5.57316E+000   1.89798E-004   5.57316E+000   2.46099E-002   6.05494E-007   1.89798E-004   6.05494E-007   6.30437E-011
    18   1.96676E+003   4.78309E+000   1.76132E-004   4.78309E+000   1.84967E-002   4.83301E-007   1.76132E-004   4.83301E-007   5.68844E-011
    19   1.96301E+003   4.13528E+000   1.63962E-004   4.13528E+000   1.50209E-002   3.91238E-007   1.63962E-004   3.91238E-007   5.15836E-011
    20   1.96080E+003   3.63825E+000   1.53072E-004   3.63825E+000   1.36045E-002   3.26155E-007   1.53072E-004   3.26155E-007   4.69823E-011
    21   1.96002E+003   3.28333E+000   1.43274E-004   3.28333E+000   1.36166E-002   2.82815E-007   1.43274E-004   2.82815E-007   4.29648E-011
    22   1.96062E+003   3.04757E+000   1.34427E-004   3.04757E+000   1.45089E-002   2.55156E-007   1.34427E-004   2.55156E-007   3.94372E-011
    23   1.96250E+003   2.90013E+000   1.26405E-004   2.90013E+000   1.58571E-002   2.37238E-007   1.26405E-004   2.37238E-007   3.63195E-011
    24   1.96548E+003   2.80947E+000   1.19105E-004   2.80947E+000   1.73575E-002   2.24053E-007   1.19105E-004   2.24053E-007   3.35507E-011
    25   1.96969E+003   2.74664E+000   1.12447E-004   2.74664E+000   1.88171E-002   2.11897E-007   1.12447E-004   2.11897E-007   3.10800E-011
    26   1.97480E+003   2.68973E+000   1.06353E-004   2.68973E+000   2.01493E-002   1.98495E-007   1.06353E-004   1.98495E-007   2.88668E-011
    27   1.98108E+003   2.62263E+000   1.00767E-004   2.62263E+000   2.13653E-002   1.82856E-007   1.00767E-004   1.82856E-007   2.68751E-011
    28   1.98807E+003   2.53852E+000   9.56257E-005   2.53852E+000   2.25536E-002   1.65059E-007   9.56257E-005   1.65059E-007   2.50773E-011
    29   1.99616E+003   2.43445E+000   9.08851E-005   2.43445E+000   2.38427E-002   1.45883E-007   9.08851E-005   1.45883E-007   2.34470E-011
    30   2.00480E+003   2.31438E+000   8.64998E-005   2.31438E+000   2.53654E-002   1.26499E-007   8.64998E-005   1.26499E-007   2.19662E-011
    31   2.01435E+003   2.18213E+000   8.24356E-005   2.18213E+000   2.72235E-002   1.08093E-007   8.24356E-005   1.08093E-007   2.06154E-011
    32   2.02440E+003   2.04504E+000   7.86562E-005   2.04504E+000   2.94761E-002   9.16593E-008   7.86562E-005   9.16593E-008   1.93811E-011
    33   2.03523E+003   1.90722E+000   7.51363E-005   1.90722E+000   3.21382E-002   7.78451E-008   7.51363E-005   7.78451E-008   1.82493E-011
    34   2.04646E+003   1.77316E+000   7.18485E-005   1.77316E+000   3.51950E-002   6.69206E-008   7.18485E-005   6.69206E-008   1.72097E-011
    35   2.05834E+003   1.64388E+000   6.87733E-005   1.64388E+000   3.86137E-002   5.87788E-008   6.87733E-005   5.87788E-008   1.62521E-011
    36   2.07066E+003   1.51968E+000   6.58898E-005   1.51968E+000   4.23571E-002   5.30079E-008   6.58898E-005   5.30079E-008   1.53683E-011
    37   2.08351E+003   1.39805E+000   6.31847E-005   1.39805E+000   4.63894E-002   4.90124E-008   6.31847E-005   4.90124E-008   1.45509E-011
    38   2.09682E+003   1.27603E+000   6.06417E-005   1.27603E+000   5.06804E-002   4.61082E-008   6.06417E-005   4.61082E-008   1.37934E-011
    39   2.11058E+003   1.15029E+000   5.82485E-005   1.15029E+000   5.52095E-002   4.37663E-008   5.82485E-005   4.37663E-008   1.30903E-011
    40   2.12465E+003   1.01727E+000   5.59940E-005   1.01727E+000   5.99647E-002   4.15028E-008   5.59940E-005   4.15028E-008   1.24366E-011
    41   2.13926E+003   8.73636E-001   5.38679E-005   8.73636E-001   6.49424E-002   3.89088E-008   5.38679E-005   3.89088E-008   1.18275E-011
    42   2.15424E+003   7.17595E-001   5.18605E-005   7.17595E-001   7.01530E-002   3.58759E-008   5.18605E-005   3.58759E-008   1.12593E-011
    43   2.16974E+003   5.47752E-001   4.99628E-005   5.47752E-001   7.56130E-002   3.24067E-008   4.99628E-005   3.24067E-008   1.07284E-011
    44   2.18545E+003   3.63512E-001   4.81667E-005   3.63512E-001   8.13329E-002   2.86487E-008   4.81667E-005   2.86487E-008   1.02317E-011
    45   2.20159E+003   1.65050E-001   4.64646E-005   1.65050E-001   8.73370E-002   2.47906E-008   4.64646E-005   2.47906E-008   9.76623E-012
    46   2.21817E+003  -4.69927E-002   4.48497E-005  -4.69927E-002   9.36492E-002   2.10410E-008   4.48497E-005   2.10410E-008   9.32954E-012
    47   2.23513E+003  -2.71693E-001   4.33161E-005  -2.71693E-001   1.00268E-001   1.75979E-008   4.33161E-005   1.75979E-008   8.91935E-012
