#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.205458E-05   0.754511E+07   0.754511E+07   0.100600E+08   0.100600E+08   0.000000E+00   0.754511E+07   0.754511E+07   0.755102E+07  -0.528345E+00   0.877723E+07   0.877723E+07   0.175375E+01
   0.209601E-05   0.754511E+07   0.754511E+07   0.100600E+08   0.100600E+08   0.000000E+00   0.754511E+07   0.754511E+07   0.755102E+07  -0.528345E+00   0.877723E+07   0.877723E+07   0.178912E+01
   0.213829E-05   0.754511E+07   0.754511E+07   0.100600E+08   0.100600E+08   0.000000E+00   0.754511E+07   0.754511E+07   0.755102E+07  -0.528345E+00   0.877723E+07   0.877723E+07   0.182520E+01
   0.218141E-05   0.754511E+07   0.754511E+07   0.100600E+08   0.100600E+08   0.000000E+00   0.754511E+07   0.754511E+07   0.755103E+07  -0.528345E+00   0.877723E+07   0.877723E+07   0.186201E+01
   0.222541E-05   0.754511E+07   0.754511E+07   0.100600E+08   0.100599E+08   0.000000E+00   0.754511E+07   0.754511E+07   0.755103E+07  -0.528345E+00   0.877724E+07   0.877724E+07   0.189956E+01
   0.227029E-05   0.754511E+07   0.754511E+07   0.100599E+08   0.100599E+08   0.000000E+00   0.754511E+07   0.754511E+07   0.755103E+07  -0.528345E+00   0.877724E+07   0.877724E+07   0.193788E+01
   0.231608E-05   0.754512E+07   0.754512E+07   0.100599E+08   0.100599E+08   0.000000E+00   0.754512E+07   0.754512E+07   0.755103E+07  -0.528345E+00   0.877724E+07   0.877724E+07   0.197696E+01
   0.236279E-05   0.754512E+07   0.754512E+07   0.100599E+08   0.100599E+08   0.000000E+00   0.754512E+07   0.754512E+07   0.755103E+07  -0.528345E+00   0.877724E+07   0.877724E+07   0.201683E+01
   0.241044E-05   0.754512E+07   0.754512E+07   0.100599E+08   0.100599E+08   0.000000E+00   0.754512E+07   0.754512E+07   0.755103E+07  -0.528346E+00   0.877724E+07   0.877724E+07   0.205751E+01
   0.245906E-05   0.754512E+07   0.754512E+07   0.100599E+08   0.100599E+08   0.000000E+00   0.754512E+07   0.754512E+07   0.755104E+07  -0.528346E+00   0.877725E+07   0.877725E+07   0.209900E+01
   0.250865E-05   0.754512E+07   0.754512E+07   0.100599E+08   0.100599E+08   0.000000E+00   0.754512E+07   0.754512E+07   0.755104E+07  -0.528346E+00   0.877725E+07   0.877725E+07   0.214133E+01
