#    L    TT             EE             TE             PP             TP          
     2   5.98589E+003   3.35408E-002  -7.45584E-002   1.04934E+005   4.20396E+004
     3   5.75369E+003   5.39410E-002   4.41972E-001   1.43237E+005   5.25946E+004
     4   5.39825E+003   5.91738E-002   2.78793E+000   1.77029E+005   5.89797E+004
     5   5.03605E+003   5.71051E-002   6.09217E+000   2.07420E+005   6.29250E+004
     6   4.69793E+003   5.84109E-002   9.61548E+000   2.35202E+005   6.53500E+004
     7   4.39291E+003   6.79997E-002   1.27437E+001   2.60951E+005   6.67935E+004
     8   4.12214E+003   8.33612E-002   1.50539E+001   2.85040E+005   6.75883E+004
     9   3.88484E+003   9.78380E-002   1.63466E+001   3.07748E+005   6.79563E+004
    10   3.67732E+003   1.05226E-001   1.66223E+001   3.29211E+005   6.80275E+004
    11   3.49728E+003   1.02827E-001   1.60354E+001   3.49647E+005   6.79148E+004
    12   3.34023E+003   9.18397E-002   1.48183E+001   3.69007E+005   6.76544E+004
    13   3.20374E+003   7.59661E-002   1.32387E+001   3.87549E+005   6.73141E+004
    14   3.08366E+003   5.92987E-002   1.15371E+001   4.05180E+005   6.68937E+004
    15   2.97767E+003   4.49173E-002   9.91203E+000   4.22085E+005   6.64226E+004
    16   2.88340E+003   3.43114E-002   8.49617E+000   4.38261E+005   6.59043E+004
    17   2.79907E+003   2.76226E-002   7.35733E+000   4.53665E+005   6.53404E+004
    18   2.72300E+003   2.41955E-002   6.50736E+000   4.68466E+005   6.47520E+004
    19   2.65544E+003   2.30863E-002   5.91808E+000   4.82646E+005   6.41340E+004
    20   2.59416E+003   2.33706E-002   5.52961E+000   4.96184E+005   6.34940E+004
    21   2.53893E+003   2.43072E-002   5.27724E+000   5.09151E+005   6.28413E+004
    22   2.48923E+003   2.53706E-002   5.09940E+000   5.21595E+005   6.21826E+004
    23   2.44454E+003   2.62553E-002   4.94611E+000   5.33500E+005   6.15186E+004
    24   2.40447E+003   2.68675E-002   4.78420E+000   5.44896E+005   6.08547E+004
    25   2.36862E+003   2.72892E-002   4.59752E+000   5.55801E+005   6.01929E+004
    26   2.33662E+003   2.77157E-002   4.38422E+000   5.66255E+005   5.95366E+004
    27   2.30810E+003   2.83776E-002   4.15189E+000   5.76246E+005   5.88839E+004
    28   2.28269E+003   2.94736E-002   3.91383E+000   5.85818E+005   5.82364E+004
    29   2.26015E+003   3.11280E-002   3.68292E+000   5.94938E+005   5.75907E+004
    30   2.24015E+003   3.33858E-002   3.47061E+000   6.03683E+005   5.69504E+004
    31   2.22253E+003   3.62234E-002   3.28198E+000   6.12019E+005   5.63131E+004
    32   2.20704E+003   3.95788E-002   3.11899E+000   6.19995E+005   5.56797E+004
    33   2.19364E+003   4.33726E-002   2.97716E+000   6.27593E+005   5.50504E+004
    34   2.18205E+003   4.75289E-002   2.85051E+000   6.34852E+005   5.44260E+004
    35   2.17229E+003   5.19850E-002   2.73010E+000   6.41767E+005   5.38080E+004
    36   2.16419E+003   5.66994E-002   2.60872E+000   6.48351E+005   5.31953E+004
    37   2.15771E+003   6.16556E-002   2.47903E+000   6.54621E+005   5.25904E+004
    38   2.15275E+003   6.68595E-002   2.33596E+000   6.60584E+005   5.19929E+004
    39   2.14921E+003   7.23354E-002   2.17827E+000   6.66249E+005   5.14028E+004
    40   2.14689E+003   7.81169E-002   2.00551E+000   6.71626E+005   5.08201E+004
    41   2.14594E+003   8.42405E-002   1.81763E+000   6.76723E+005   5.02447E+004
    42   2.14613E+003   9.07337E-002   1.61682E+000   6.81553E+005   4.96764E+004
    43   2.14754E+003   9.76186E-002   1.40541E+000   6.86124E+005   4.91148E+004
    44   2.14982E+003   1.04892E-001   1.18454E+000   6.90442E+005   4.85595E+004
    45   2.15315E+003   1.12557E-001   9.55234E-001   6.94512E+005   4.80102E+004
    46   2.15750E+003   1.20613E-001   7.17292E-001   6.98344E+005   4.74669E+004
    47   2.16278E+003   1.29037E-001   4.70244E-001   7.01947E+005   4.69298E+004
    48   2.16888E+003   1.37820E-001   2.12601E-001   7.05330E+005   4.63991E+004
    49   2.17581E+003   1.46944E-001  -5.69952E-002   7.08499E+005   4.58751E+004
    50   2.18369E+003   1.56421E-001  -3.40021E-001   7.11459E+005   4.53577E+004
    51   2.19223E+003   1.66238E-001  -6.37585E-001   7.14214E+005   4.48466E+004
    52   2.20174E+003   1.76373E-001  -9.50370E-001   7.16772E+005   4.43421E+004
    53   2.21198E+003   1.86860E-001  -1.27893E+000   7.19143E+005   4.38444E+004
    54   2.22282E+003   1.97679E-001  -1.62316E+000   7.21330E+005   4.33533E+004
    55   2.23438E+003   2.08844E-001  -1.98282E+000   7.23340E+005   4.28684E+004
    56   2.24673E+003   2.20356E-001  -2.35738E+000   7.25175E+005   4.23894E+004
    57   2.25967E+003   2.32206E-001  -2.74638E+000   7.26843E+005   4.19164E+004
    58   2.27327E+003   2.44400E-001  -3.14988E+000   7.28350E+005   4.14492E+004
    59   2.28748E+003   2.56934E-001  -3.56766E+000   7.29703E+005   4.09878E+004
    60   2.30231E+003   2.69763E-001  -3.99818E+000   7.30905E+005   4.05321E+004
    61   2.31805E+003   2.82888E-001  -4.44002E+000   7.31958E+005   4.00820E+004
    62   2.33408E+003   2.96302E-001  -4.89455E+000   7.32867E+005   3.96372E+004
    63   2.35058E+003   3.09994E-001  -5.36349E+000   7.33637E+005   3.91979E+004
    64   2.36783E+003   3.24006E-001  -5.84876E+000   7.34272E+005   3.87641E+004
    65   2.38541E+003   3.38342E-001  -6.35167E+000   7.34777E+005   3.83356E+004
    66   2.40360E+003   3.52957E-001  -6.87104E+000   7.35155E+005   3.79124E+004
    67   2.42221E+003   3.67831E-001  -7.40463E+000   7.35413E+005   3.74946E+004
    68   2.44151E+003   3.82977E-001  -7.95092E+000   7.35554E+005   3.70821E+004
    69   2.46128E+003   3.98323E-001  -8.50699E+000   7.35582E+005   3.66747E+004
    70   2.48168E+003   4.13880E-001  -9.07304E+000   7.35499E+005   3.62725E+004
    71   2.50257E+003   4.29613E-001  -9.65022E+000   7.35310E+005   3.58754E+004
    72   2.52395E+003   4.45501E-001  -1.02396E+001   7.35018E+005   3.54831E+004
    73   2.54577E+003   4.61525E-001  -1.08417E+001   7.34625E+005   3.50957E+004
    74   2.56803E+003   4.77689E-001  -1.14557E+001   7.34136E+005   3.47130E+004
    75   2.59080E+003   4.94015E-001  -1.20802E+001   7.33554E+005   3.43350E+004
    76   2.61400E+003   5.10516E-001  -1.27151E+001   7.32880E+005   3.39616E+004
    77   2.63769E+003   5.27171E-001  -1.33603E+001   7.32120E+005   3.35927E+004
    78   2.66190E+003   5.43991E-001  -1.40166E+001   7.31274E+005   3.32283E+004
    79   2.68649E+003   5.60904E-001  -1.46799E+001   7.30347E+005   3.28684E+004
    80   2.71156E+003   5.77899E-001  -1.53512E+001   7.29341E+005   3.25128E+004
    81   2.73704E+003   5.94912E-001  -1.60308E+001   7.28260E+005   3.21616E+004
    82   2.76296E+003   6.11960E-001  -1.67181E+001   7.27106E+005   3.18148E+004
    83   2.78927E+003   6.29015E-001  -1.74128E+001   7.25881E+005   3.14721E+004
    84   2.81602E+003   6.46069E-001  -1.81131E+001   7.24587E+005   3.11337E+004
    85   2.84306E+003   6.63093E-001  -1.88199E+001   7.23228E+005   3.07994E+004
    86   2.87048E+003   6.80096E-001  -1.95322E+001   7.21805E+005   3.04691E+004
    87   2.89848E+003   6.97041E-001  -2.02488E+001   7.20321E+005   3.01428E+004
    88   2.92663E+003   7.13936E-001  -2.09693E+001   7.18778E+005   2.98205E+004
    89   2.95529E+003   7.30759E-001  -2.16948E+001   7.17177E+005   2.95021E+004
    90   2.98431E+003   7.47467E-001  -2.24220E+001   7.15523E+005   2.91874E+004
    91   3.01361E+003   7.64048E-001  -2.31514E+001   7.13815E+005   2.88766E+004
    92   3.04333E+003   7.80481E-001  -2.38822E+001   7.12057E+005   2.85695E+004
    93   3.07347E+003   7.96757E-001  -2.46141E+001   7.10250E+005   2.82661E+004
    94   3.10380E+003   8.12833E-001  -2.53456E+001   7.08396E+005   2.79663E+004
    95   3.13453E+003   8.28704E-001  -2.60772E+001   7.06498E+005   2.76701E+004
    96   3.16536E+003   8.44353E-001  -2.68081E+001   7.04557E+005   2.73774E+004
    97   3.19673E+003   8.59759E-001  -2.75373E+001   7.02575E+005   2.70882E+004
    98   3.22840E+003   8.74912E-001  -2.82626E+001   7.00554E+005   2.68025E+004
    99   3.26024E+003   8.89771E-001  -2.89865E+001   6.98496E+005   2.65202E+004
   100   3.29244E+003   9.04334E-001  -2.97047E+001   6.96401E+005   2.62413E+004
   101   3.32487E+003   9.18660E-001  -3.04198E+001   6.94272E+005   2.59657E+004
   102   3.35788E+003   9.32597E-001  -3.11295E+001   6.92109E+005   2.56934E+004
   103   3.39087E+003   9.46218E-001  -3.18342E+001   6.89914E+005   2.54244E+004
   104   3.42415E+003   9.59520E-001  -3.25310E+001   6.87688E+005   2.51585E+004
   105   3.45762E+003   9.72427E-001  -3.32211E+001   6.85433E+005   2.48959E+004
   106   3.49135E+003   9.85012E-001  -3.39036E+001   6.83150E+005   2.46363E+004
   107   3.52505E+003   9.97123E-001  -3.45769E+001   6.80840E+005   2.43799E+004
   108   3.55915E+003   1.00883E+000  -3.52414E+001   6.78504E+005   2.41264E+004
   109   3.59343E+003   1.02007E+000  -3.58956E+001   6.76145E+005   2.38760E+004
   110   3.62780E+003   1.03082E+000  -3.65379E+001   6.73763E+005   2.36286E+004
   111   3.66234E+003   1.04116E+000  -3.71694E+001   6.71360E+005   2.33841E+004
   112   3.69703E+003   1.05103E+000  -3.77894E+001   6.68936E+005   2.31424E+004
   113   3.73196E+003   1.06040E+000  -3.83961E+001   6.66494E+005   2.29036E+004
   114   3.76695E+003   1.06922E+000  -3.89887E+001   6.64035E+005   2.26676E+004
   115   3.80217E+003   1.07762E+000  -3.95669E+001   6.61560E+005   2.24344E+004
   116   3.83737E+003   1.08538E+000  -4.01300E+001   6.59070E+005   2.22039E+004
   117   3.87286E+003   1.09259E+000  -4.06770E+001   6.56565E+005   2.19761E+004
   118   3.90847E+003   1.09940E+000  -4.12086E+001   6.54047E+005   2.17509E+004
   119   3.94406E+003   1.10566E+000  -4.17224E+001   6.51517E+005   2.15284E+004
   120   3.97977E+003   1.11123E+000  -4.22182E+001   6.48974E+005   2.13085E+004
   121   4.01545E+003   1.11641E+000  -4.26961E+001   6.46421E+005   2.10912E+004
   122   4.05116E+003   1.12091E+000  -4.31550E+001   6.43857E+005   2.08764E+004
   123   4.08691E+003   1.12481E+000  -4.35950E+001   6.41284E+005   2.06641E+004
   124   4.12268E+003   1.12818E+000  -4.40128E+001   6.38703E+005   2.04543E+004
   125   4.15841E+003   1.13096E+000  -4.44106E+001   6.36114E+005   2.02470E+004
   126   4.19415E+003   1.13322E+000  -4.47876E+001   6.33518E+005   2.00421E+004
   127   4.22983E+003   1.13483E+000  -4.51428E+001   6.30916E+005   1.98395E+004
   128   4.26544E+003   1.13592E+000  -4.54754E+001   6.28308E+005   1.96394E+004
   129   4.30107E+003   1.13637E+000  -4.57845E+001   6.25696E+005   1.94415E+004
   130   4.33661E+003   1.13617E+000  -4.60693E+001   6.23081E+005   1.92460E+004
   131   4.37209E+003   1.13547E+000  -4.63312E+001   6.20462E+005   1.90527E+004
   132   4.40755E+003   1.13414E+000  -4.65669E+001   6.17842E+005   1.88616E+004
   133   4.44285E+003   1.13226E+000  -4.67790E+001   6.15220E+005   1.86727E+004
   134   4.47806E+003   1.12984E+000  -4.69628E+001   6.12597E+005   1.84861E+004
   135   4.51319E+003   1.12681E+000  -4.71215E+001   6.09974E+005   1.83016E+004
   136   4.54807E+003   1.12318E+000  -4.72515E+001   6.07351E+005   1.81192E+004
   137   4.58285E+003   1.11905E+000  -4.73549E+001   6.04728E+005   1.79389E+004
   138   4.61746E+003   1.11434E+000  -4.74304E+001   6.02106E+005   1.77608E+004
   139   4.65174E+003   1.10922E+000  -4.74773E+001   5.99486E+005   1.75846E+004
   140   4.68599E+003   1.10347E+000  -4.74964E+001   5.96867E+005   1.74106E+004
   141   4.71991E+003   1.09718E+000  -4.74856E+001   5.94252E+005   1.72385E+004
   142   4.75372E+003   1.09043E+000  -4.74456E+001   5.91639E+005   1.70684E+004
   143   4.78734E+003   1.08324E+000  -4.73765E+001   5.89029E+005   1.69003E+004
   144   4.82062E+003   1.07554E+000  -4.72776E+001   5.86424E+005   1.67341E+004
   145   4.85363E+003   1.06749E+000  -4.71483E+001   5.83823E+005   1.65699E+004
   146   4.88659E+003   1.05887E+000  -4.69886E+001   5.81227E+005   1.64075E+004
   147   4.91905E+003   1.04993E+000  -4.67970E+001   5.78637E+005   1.62470E+004
   148   4.95123E+003   1.04052E+000  -4.65752E+001   5.76053E+005   1.60883E+004
   149   4.98321E+003   1.03073E+000  -4.63218E+001   5.73475E+005   1.59315E+004
   150   5.01475E+003   1.02065E+000  -4.60345E+001   5.70904E+005   1.57765E+004
   151   5.04601E+003   1.01022E+000  -4.57166E+001   5.68339E+005   1.56232E+004
   152   5.07681E+003   9.99390E-001  -4.53666E+001   5.65783E+005   1.54717E+004
   153   5.10732E+003   9.88315E-001  -4.49824E+001   5.63233E+005   1.53219E+004
   154   5.13744E+003   9.77017E-001  -4.45665E+001   5.60692E+005   1.51738E+004
   155   5.16718E+003   9.65513E-001  -4.41182E+001   5.58158E+005   1.50275E+004
   156   5.19638E+003   9.53819E-001  -4.36376E+001   5.55633E+005   1.48828E+004
   157   5.22532E+003   9.41951E-001  -4.31234E+001   5.53116E+005   1.47398E+004
   158   5.25380E+003   9.30002E-001  -4.25764E+001   5.50608E+005   1.45984E+004
   159   5.28179E+003   9.17839E-001  -4.19968E+001   5.48110E+005   1.44586E+004
   160   5.30936E+003   9.05628E-001  -4.13833E+001   5.45620E+005   1.43204E+004
   161   5.33652E+003   8.93459E-001  -4.07373E+001   5.43140E+005   1.41838E+004
   162   5.36318E+003   8.81202E-001  -4.00592E+001   5.40670E+005   1.40487E+004
   163   5.38949E+003   8.68946E-001  -3.93474E+001   5.38211E+005   1.39152E+004
   164   5.41514E+003   8.56784E-001  -3.86037E+001   5.35761E+005   1.37832E+004
   165   5.44043E+003   8.44657E-001  -3.78259E+001   5.33323E+005   1.36527E+004
   166   5.46519E+003   8.32731E-001  -3.70156E+001   5.30895E+005   1.35236E+004
   167   5.48952E+003   8.20801E-001  -3.61739E+001   5.28478E+005   1.33960E+004
   168   5.51318E+003   8.09255E-001  -3.52989E+001   5.26072E+005   1.32699E+004
   169   5.53632E+003   7.97815E-001  -3.43908E+001   5.23678E+005   1.31452E+004
   170   5.55895E+003   7.86719E-001  -3.34515E+001   5.21295E+005   1.30218E+004
   171   5.58092E+003   7.75986E-001  -3.24789E+001   5.18924E+005   1.28999E+004
   172   5.60230E+003   7.65558E-001  -3.14749E+001   5.16564E+005   1.27794E+004
   173   5.62301E+003   7.55454E-001  -3.04397E+001   5.14216E+005   1.26602E+004
   174   5.64322E+003   7.45988E-001  -2.93737E+001   5.11879E+005   1.25424E+004
   175   5.66285E+003   7.36879E-001  -2.82765E+001   5.09555E+005   1.24258E+004
   176   5.68174E+003   7.28370E-001  -2.71482E+001   5.07243E+005   1.23106E+004
   177   5.70005E+003   7.20401E-001  -2.59907E+001   5.04943E+005   1.21967E+004
   178   5.71771E+003   7.13215E-001  -2.48028E+001   5.02655E+005   1.20841E+004
   179   5.73471E+003   7.06531E-001  -2.35848E+001   5.00380E+005   1.19728E+004
   180   5.75120E+003   7.00589E-001  -2.23385E+001   4.98118E+005   1.18626E+004
   181   5.76697E+003   6.95407E-001  -2.10641E+001   4.95868E+005   1.17538E+004
   182   5.78209E+003   6.91078E-001  -1.97605E+001   4.93631E+005   1.16461E+004
   183   5.79648E+003   6.87542E-001  -1.84295E+001   4.91406E+005   1.15396E+004
   184   5.81030E+003   6.84890E-001  -1.70706E+001   4.89195E+005   1.14344E+004
   185   5.82347E+003   6.83283E-001  -1.56865E+001   4.86997E+005   1.13303E+004
   186   5.83562E+003   6.82595E-001  -1.42746E+001   4.84811E+005   1.12273E+004
   187   5.84743E+003   6.82981E-001  -1.28366E+001   4.82639E+005   1.11255E+004
   188   5.85851E+003   6.84440E-001  -1.13745E+001   4.80479E+005   1.10249E+004
   189   5.86881E+003   6.87022E-001  -9.88716E+000   4.78333E+005   1.09253E+004
   190   5.87876E+003   6.90795E-001  -8.37709E+000   4.76199E+005   1.08269E+004
   191   5.88762E+003   6.95795E-001  -6.84171E+000   4.74079E+005   1.07295E+004
   192   5.89591E+003   7.02057E-001  -5.28361E+000   4.71971E+005   1.06333E+004
   193   5.90343E+003   7.09640E-001  -3.70465E+000   4.69877E+005   1.05381E+004
   194   5.91037E+003   7.18588E-001  -2.10295E+000   4.67795E+005   1.04439E+004
   195   5.91654E+003   7.28952E-001  -4.81096E-001   4.65727E+005   1.03508E+004
   196   5.92192E+003   7.40784E-001   1.16129E+000   4.63672E+005   1.02587E+004
