#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.220393E-05   0.282488E+08   0.282488E+08   0.376647E+08   0.376647E+08   0.000000E+00   0.282488E+08   0.282488E+08   0.282654E+08  -0.476817E+00   0.404950E+07   0.404950E+07   0.178434E+01
   0.224842E-05   0.282488E+08   0.282488E+08   0.376647E+08   0.376647E+08   0.000000E+00   0.282488E+08   0.282488E+08   0.282654E+08  -0.476817E+00   0.404951E+07   0.404951E+07   0.182036E+01
   0.229382E-05   0.282488E+08   0.282488E+08   0.376647E+08   0.376647E+08   0.000000E+00   0.282488E+08   0.282488E+08   0.282654E+08  -0.476817E+00   0.404951E+07   0.404951E+07   0.185711E+01
   0.234013E-05   0.282488E+08   0.282488E+08   0.376647E+08   0.376646E+08   0.000000E+00   0.282488E+08   0.282488E+08   0.282654E+08  -0.476817E+00   0.404951E+07   0.404951E+07   0.189460E+01
   0.238737E-05   0.282488E+08   0.282488E+08   0.376646E+08   0.376646E+08   0.000000E+00   0.282488E+08   0.282488E+08   0.282654E+08  -0.476816E+00   0.404951E+07   0.404951E+07   0.193285E+01
   0.243557E-05   0.282488E+08   0.282488E+08   0.376646E+08   0.376646E+08   0.000000E+00   0.282488E+08   0.282488E+08   0.282654E+08  -0.476816E+00   0.404951E+07   0.404951E+07   0.197188E+01
   0.248474E-05   0.282487E+08   0.282487E+08   0.376646E+08   0.376646E+08   0.000000E+00   0.282487E+08   0.282487E+08   0.282654E+08  -0.476816E+00   0.404951E+07   0.404951E+07   0.201169E+01
   0.253491E-05   0.282487E+08   0.282487E+08   0.376645E+08   0.376645E+08   0.000000E+00   0.282487E+08   0.282487E+08   0.282653E+08  -0.476815E+00   0.404952E+07   0.404952E+07   0.205230E+01
   0.258608E-05   0.282487E+08   0.282487E+08   0.376645E+08   0.376645E+08   0.000000E+00   0.282487E+08   0.282487E+08   0.282653E+08  -0.476815E+00   0.404952E+07   0.404952E+07   0.209373E+01
   0.263830E-05   0.282487E+08   0.282487E+08   0.376645E+08   0.376644E+08   0.000000E+00   0.282487E+08   0.282487E+08   0.282653E+08  -0.476815E+00   0.404952E+07   0.404952E+07   0.213600E+01
   0.269156E-05   0.282487E+08   0.282487E+08   0.376644E+08   0.376644E+08   0.000000E+00   0.282487E+08   0.282487E+08   0.282653E+08  -0.476814E+00   0.404952E+07   0.404952E+07   0.217913E+01
   0.274590E-05   0.282487E+08   0.282487E+08   0.376644E+08   0.376644E+08   0.000000E+00   0.282487E+08   0.282487E+08   0.282653E+08  -0.476814E+00   0.404952E+07   0.404952E+07   0.222312E+01
   0.280134E-05   0.282487E+08   0.282487E+08   0.376643E+08   0.376643E+08   0.000000E+00   0.282487E+08   0.282487E+08   0.282653E+08  -0.476813E+00   0.404952E+07   0.404952E+07   0.226800E+01
   0.285789E-05   0.282487E+08   0.282487E+08   0.376643E+08   0.376643E+08   0.000000E+00   0.282487E+08   0.282487E+08   0.282653E+08  -0.476813E+00   0.404953E+07   0.404953E+07   0.231379E+01
   0.291559E-05   0.282486E+08   0.282486E+08   0.376643E+08   0.376642E+08   0.000000E+00   0.282486E+08   0.282486E+08   0.282652E+08  -0.476813E+00   0.404953E+07   0.404953E+07   0.236050E+01
   0.297445E-05   0.282486E+08   0.282486E+08   0.376642E+08   0.376642E+08   0.000000E+00   0.282486E+08   0.282486E+08   0.282652E+08  -0.476812E+00   0.404953E+07   0.404953E+07   0.240816E+01
   0.303451E-05   0.282486E+08   0.282486E+08   0.376642E+08   0.376641E+08   0.000000E+00   0.282486E+08   0.282486E+08   0.282652E+08  -0.476812E+00   0.404953E+07   0.404953E+07   0.245678E+01
   0.309577E-05   0.282486E+08   0.282486E+08   0.376641E+08   0.376641E+08   0.000000E+00   0.282486E+08   0.282486E+08   0.282652E+08  -0.476811E+00   0.404954E+07   0.404954E+07   0.250637E+01
   0.315827E-05   0.282486E+08   0.282486E+08   0.376641E+08   0.376641E+08   0.000000E+00   0.282486E+08   0.282486E+08   0.282652E+08  -0.476811E+00   0.404954E+07   0.404954E+07   0.255697E+01
   0.322203E-05   0.282486E+08   0.282486E+08   0.376640E+08   0.376640E+08   0.000000E+00   0.282486E+08   0.282486E+08   0.282652E+08  -0.476810E+00   0.404954E+07   0.404954E+07   0.260860E+01
   0.328708E-05   0.282485E+08   0.282485E+08   0.376640E+08   0.376639E+08   0.000000E+00   0.282485E+08   0.282485E+08   0.282651E+08  -0.476809E+00   0.404955E+07   0.404955E+07   0.266126E+01
   0.335345E-05   0.282485E+08   0.282485E+08   0.376639E+08   0.376639E+08   0.000000E+00   0.282485E+08   0.282485E+08   0.282651E+08  -0.476809E+00   0.404955E+07   0.404955E+07   0.271499E+01
   0.342115E-05   0.282485E+08   0.282485E+08   0.376638E+08   0.376638E+08   0.000000E+00   0.282485E+08   0.282485E+08   0.282651E+08  -0.476808E+00   0.404955E+07   0.404955E+07   0.276980E+01
   0.349022E-05   0.282485E+08   0.282485E+08   0.376638E+08   0.376638E+08   0.000000E+00   0.282485E+08   0.282485E+08   0.282651E+08  -0.476808E+00   0.404956E+07   0.404956E+07   0.282572E+01
   0.356068E-05   0.282485E+08   0.282485E+08   0.376637E+08   0.376637E+08   0.000000E+00   0.282485E+08   0.282485E+08   0.282651E+08  -0.476807E+00   0.404956E+07   0.404956E+07   0.288276E+01
   0.363257E-05   0.282484E+08   0.282484E+08   0.376637E+08   0.376636E+08   0.000000E+00   0.282484E+08   0.282484E+08   0.282650E+08  -0.476806E+00   0.404956E+07   0.404956E+07   0.294096E+01
   0.370591E-05   0.282484E+08   0.282484E+08   0.376636E+08   0.376636E+08   0.000000E+00   0.282484E+08   0.282484E+08   0.282650E+08  -0.476805E+00   0.404957E+07   0.404957E+07   0.300034E+01
   0.378073E-05   0.282484E+08   0.282484E+08   0.376635E+08   0.376635E+08   0.000000E+00   0.282484E+08   0.282484E+08   0.282650E+08  -0.476805E+00   0.404957E+07   0.404957E+07   0.306091E+01
   0.385706E-05   0.282484E+08   0.282484E+08   0.376634E+08   0.376634E+08   0.000000E+00   0.282484E+08   0.282484E+08   0.282650E+08  -0.476804E+00   0.404957E+07   0.404957E+07   0.312270E+01
   0.393493E-05   0.282483E+08   0.282483E+08   0.376634E+08   0.376633E+08   0.000000E+00   0.282483E+08   0.282483E+08   0.282649E+08  -0.476803E+00   0.404958E+07   0.404958E+07   0.318575E+01
