#    L    TT             EE             BB             TE          
     2   1.33895E+003   7.85769E-002   2.04634E-006   5.20081E+000
     3   1.24614E+003   1.22538E-001   4.10501E-006   6.31851E+000
     4   1.16421E+003   1.32521E-001   6.86752E-006   6.35705E+000
     5   1.10191E+003   1.14150E-001   1.03461E-005   5.77850E+000
     6   1.05640E+003   8.28110E-002   1.45526E-005   4.93263E+000
     7   1.02395E+003   5.23048E-002   1.94968E-005   4.04010E+000
     8   1.00124E+003   3.00177E-002   2.51845E-005   3.22634E+000
     9   9.86247E+002   1.71790E-002   3.16168E-005   2.55338E+000
    10   9.76940E+002   1.14364E-002   3.87891E-005   2.04513E+000
    11   9.72297E+002   9.49009E-003   4.66916E-005   1.69924E+000
    12   9.71065E+002   8.82848E-003   5.53112E-005   1.49747E+000
    13   9.72828E+002   8.26016E-003   6.46334E-005   1.41395E+000
    14   9.76616E+002   7.61732E-003   7.46451E-005   1.41824E+000
    15   9.82392E+002   7.17292E-003   8.53380E-005   1.48149E+000
    16   9.89737E+002   7.16776E-003   9.67099E-005   1.57863E+000
    17   9.98206E+002   7.62479E-003   1.08767E-004   1.68989E+000
    18   1.00703E+003   8.39792E-003   1.21523E-004   1.80038E+000
    19   1.01847E+003   9.33396E-003   1.34997E-004   1.90741E+000
    20   1.02994E+003   1.03478E-002   1.49211E-004   2.00257E+000
    21   1.04203E+003   1.14755E-002   1.64187E-004   2.08751E+000
    22   1.05474E+003   1.28141E-002   1.79938E-004   2.16441E+000
    23   1.06795E+003   1.44587E-002   1.96473E-004   2.23608E+000
    24   1.08164E+003   1.64600E-002   2.13788E-004   2.30607E+000
    25   1.09571E+003   1.88185E-002   2.31871E-004   2.37587E+000
    26   1.11021E+003   2.15065E-002   2.50704E-004   2.44757E+000
    27   1.12500E+003   2.44941E-002   2.70262E-004   2.51926E+000
    28   1.14014E+003   2.77642E-002   2.90526E-004   2.59116E+000
    29   1.15560E+003   3.13116E-002   3.11482E-004   2.65891E+000
    30   1.17134E+003   3.51377E-002   3.33125E-004   2.72153E+000
    31   1.18732E+003   3.92393E-002   3.55462E-004   2.77384E+000
    32   1.20361E+003   4.36111E-002   3.78510E-004   2.81539E+000
    33   1.22017E+003   4.82465E-002   4.02293E-004   2.84226E+000
    34   1.23695E+003   5.31463E-002   4.26838E-004   2.85455E+000
    35   1.25402E+003   5.83192E-002   4.52165E-004   2.85075E+000
    36   1.27136E+003   6.37824E-002   4.78288E-004   2.83209E+000
    37   1.28894E+003   6.95548E-002   5.05209E-004   2.79841E+000
    38   1.30676E+003   7.56570E-002   5.32917E-004   2.75106E+000
    39   1.32484E+003   8.20917E-002   5.61389E-004   2.69087E+000
    40   1.34301E+003   8.88628E-002   5.90598E-004   2.61838E+000
    41   1.36151E+003   9.59764E-002   6.20517E-004   2.53383E+000
    42   1.38017E+003   1.03428E-001   6.51123E-004   2.43734E+000
    43   1.39919E+003   1.11214E-001   6.82407E-004   2.32861E+000
    44   1.41824E+003   1.19320E-001   7.14370E-004   2.20657E+000
    45   1.43756E+003   1.27747E-001   7.47029E-004   2.07042E+000
    46   1.45715E+003   1.36499E-001   7.80409E-004   1.91935E+000
    47   1.47701E+003   1.45560E-001   8.14539E-004   1.75274E+000
    48   1.49705E+003   1.54928E-001   8.49445E-004   1.56968E+000
    49   1.51729E+003   1.64594E-001   8.85146E-004   1.36972E+000
    50   1.53789E+003   1.74574E-001   9.21645E-004   1.15291E+000
    51   1.55860E+003   1.84855E-001   9.58932E-004   9.19638E-001
    52   1.57977E+003   1.95413E-001   9.96984E-004   6.70111E-001
    53   1.60113E+003   2.06279E-001   1.03577E-003   4.04474E-001
    54   1.62258E+003   2.17423E-001   1.07526E-003   1.23464E-001
    55   1.64429E+003   2.28854E-001   1.11542E-003  -1.72263E-001
    56   1.66634E+003   2.40563E-001   1.15625E-003  -4.82583E-001
    57   1.68856E+003   2.52535E-001   1.19774E-003  -8.07560E-001
    58   1.71106E+003   2.64771E-001   1.23991E-003  -1.14737E+000
    59   1.73380E+003   2.77267E-001   1.28278E-003  -1.50187E+000
    60   1.75682E+003   2.89973E-001   1.32640E-003  -1.86992E+000
    61   1.78044E+003   3.02892E-001   1.37079E-003  -2.25043E+000
    62   1.80403E+003   3.16015E-001   1.41597E-003  -2.64465E+000
    63   1.82780E+003   3.29330E-001   1.46195E-003  -3.05404E+000
    64   1.85202E+003   3.42880E-001   1.50872E-003  -3.48028E+000
    65   1.87628E+003   3.56668E-001   1.55626E-003  -3.92446E+000
    66   1.90087E+003   3.70646E-001   1.60454E-003  -4.38516E+000
    67   1.92560E+003   3.84795E-001   1.65352E-003  -4.85991E+000
    68   1.95077E+003   3.99127E-001   1.70317E-003  -5.34699E+000
    69   1.97614E+003   4.13572E-001   1.75348E-003  -5.84350E+000
    70   2.00190E+003   4.28139E-001   1.80445E-003  -6.34963E+000
    71   2.02792E+003   4.42795E-001   1.85610E-003  -6.86657E+000
    72   2.05422E+003   4.57521E-001   1.90845E-003  -7.39540E+000
    73   2.08073E+003   4.72298E-001   1.96156E-003  -7.93671E+000
    74   2.10749E+003   4.87129E-001   2.01545E-003  -8.48957E+000
    75   2.13458E+003   5.02041E-001   2.07014E-003  -9.05267E+000
    76   2.16191E+003   5.17046E-001   2.12566E-003  -9.62608E+000
    77   2.18955E+003   5.32131E-001   2.18199E-003  -1.02095E+001
    78   2.21756E+003   5.47308E-001   2.23911E-003  -1.08041E+001
    79   2.24576E+003   5.62511E-001   2.29699E-003  -1.14057E+001
    80   2.27430E+003   5.77732E-001   2.35559E-003  -1.20155E+001
    81   2.30308E+003   5.92912E-001   2.41488E-003  -1.26337E+001
    82   2.33216E+003   6.08071E-001   2.47485E-003  -1.32598E+001
    83   2.36147E+003   6.23187E-001   2.53550E-003  -1.38937E+001
    84   2.39109E+003   6.38259E-001   2.59684E-003  -1.45335E+001
    85   2.42087E+003   6.53264E-001   2.65893E-003  -1.51805E+001
    86   2.45089E+003   6.68216E-001   2.72180E-003  -1.58334E+001
    87   2.48138E+003   6.83086E-001   2.78549E-003  -1.64913E+001
    88   2.51189E+003   6.97886E-001   2.85003E-003  -1.71539E+001
    89   2.54279E+003   7.12602E-001   2.91543E-003  -1.78223E+001
    90   2.57394E+003   7.27196E-001   2.98170E-003  -1.84932E+001
    91   2.60527E+003   7.41664E-001   3.04881E-003  -1.91674E+001
    92   2.63691E+003   7.55995E-001   3.11671E-003  -1.98442E+001
    93   2.66887E+003   7.70185E-001   3.18539E-003  -2.05235E+001
    94   2.70092E+003   7.84201E-001   3.25480E-003  -2.12039E+001
    95   2.73328E+003   7.98046E-001   3.32494E-003  -2.18862E+001
    96   2.76564E+003   8.11709E-001   3.39581E-003  -2.25696E+001
    97   2.79846E+003   8.25180E-001   3.46742E-003  -2.32534E+001
    98   2.83150E+003   8.38454E-001   3.53984E-003  -2.39353E+001
    99   2.86462E+003   8.51500E-001   3.61309E-003  -2.46184E+001
   100   2.89803E+003   8.64323E-001   3.68723E-003  -2.52982E+001
   101   2.93159E+003   8.76987E-001   3.76229E-003  -2.59778E+001
   102   2.96567E+003   8.89350E-001   3.83829E-003  -2.66549E+001
   103   2.99967E+003   9.01492E-001   3.91522E-003  -2.73304E+001
   104   3.03388E+003   9.13416E-001   3.99307E-003  -2.80012E+001
   105   3.06823E+003   9.25056E-001   4.07178E-003  -2.86690E+001
   106   3.10279E+003   9.36489E-001   4.15134E-003  -2.93330E+001
   107   3.13727E+003   9.47574E-001   4.23170E-003  -2.99919E+001
   108   3.17211E+003   9.58390E-001   4.31286E-003  -3.06464E+001
   109   3.20708E+003   9.68868E-001   4.39482E-003  -3.12950E+001
   110   3.24211E+003   9.79013E-001   4.47761E-003  -3.19363E+001
   111   3.27727E+003   9.88905E-001   4.56127E-003  -3.25719E+001
   112   3.31256E+003   9.98475E-001   4.64586E-003  -3.32010E+001
   113   3.34805E+003   1.00773E+000   4.73142E-003  -3.38222E+001
   114   3.38360E+003   1.01660E+000   4.81800E-003  -3.44347E+001
   115   3.41934E+003   1.02523E+000   4.90560E-003  -3.50386E+001
   116   3.45506E+003   1.03342E+000   4.99422E-003  -3.56333E+001
   117   3.49106E+003   1.04124E+000   5.08385E-003  -3.62180E+001
   118   3.52717E+003   1.04884E+000   5.17443E-003  -3.67935E+001
   119   3.56326E+003   1.05609E+000   5.26595E-003  -3.73578E+001
   120   3.59948E+003   1.06283E+000   5.35836E-003  -3.79109E+001
   121   3.63567E+003   1.06937E+000   5.45165E-003  -3.84528E+001
   122   3.67191E+003   1.07543E+000   5.54583E-003  -3.89828E+001
   123   3.70820E+003   1.08107E+000   5.64093E-003  -3.95011E+001
   124   3.74454E+003   1.08639E+000   5.73700E-003  -4.00048E+001
   125   3.78085E+003   1.09130E+000   5.83408E-003  -4.04960E+001
   126   3.81721E+003   1.09590E+000   5.93224E-003  -4.09742E+001
   127   3.85355E+003   1.10003E+000   6.03151E-003  -4.14385E+001
   128   3.88986E+003   1.10386E+000   6.13191E-003  -4.18884E+001
   129   3.92621E+003   1.10723E+000   6.23343E-003  -4.23232E+001
   130   3.96254E+003   1.11015E+000   6.33604E-003  -4.27422E+001
   131   3.99885E+003   1.11279E+000   6.43972E-003  -4.31469E+001
   132   4.03520E+003   1.11499E+000   6.54440E-003  -4.35345E+001
   133   4.07145E+003   1.11682E+000   6.65008E-003  -4.39072E+001
   134   4.10767E+003   1.11830E+000   6.75672E-003  -4.42608E+001
   135   4.14388E+003   1.11935E+000   6.86435E-003  -4.45983E+001
   136   4.17991E+003   1.11996E+000   6.97298E-003  -4.49160E+001
   137   4.21592E+003   1.12022E+000   7.08267E-003  -4.52163E+001
   138   4.25183E+003   1.12005E+000   7.19348E-003  -4.54978E+001
   139   4.28751E+003   1.11959E+000   7.30545E-003  -4.57597E+001
   140   4.32324E+003   1.11863E+000   7.41862E-003  -4.60030E+001
   141   4.35873E+003   1.11725E+000   7.53302E-003  -4.62255E+001
   142   4.39421E+003   1.11551E+000   7.64862E-003  -4.64279E+001
   143   4.42960E+003   1.11342E+000   7.76541E-003  -4.66105E+001
   144   4.46475E+003   1.11090E+000   7.88334E-003  -4.67725E+001
   145   4.49974E+003   1.10811E+000   8.00236E-003  -4.69133E+001
   146   4.53480E+003   1.10482E+000   8.12245E-003  -4.70330E+001
   147   4.56947E+003   1.10125E+000   8.24358E-003  -4.71303E+001
   148   4.60399E+003   1.09726E+000   8.36576E-003  -4.72067E+001
   149   4.63842E+003   1.09292E+000   8.48903E-003  -4.72607E+001
