#    L    TT             EE             BB             TE             PP             TP             EP          
     2   1.33895E+003   7.85749E-002   0.00000E+000   5.20082E+000   5.79880E-008   3.60290E-003  -2.05692E-005
     3   1.24613E+003   1.22534E-001   0.00000E+000   6.31852E+000   7.04706E-008   3.61227E-003  -2.45625E-005
     4   1.16419E+003   1.32514E-001   0.00000E+000   6.35705E+000   8.12082E-008   3.53747E-003  -2.43078E-005
     5   1.10189E+003   1.14139E-001   0.00000E+000   5.77852E+000   9.05275E-008   3.42917E-003  -2.12237E-005
     6   1.05637E+003   8.27965E-002   0.00000E+000   4.93266E+000   9.86517E-008   3.30716E-003  -1.65007E-005
     7   1.02391E+003   5.22854E-002   0.00000E+000   4.04015E+000   1.05798E-007   3.18105E-003  -1.11714E-005
     8   1.00119E+003   2.99927E-002   0.00000E+000   3.22640E+000   1.12123E-007   3.05589E-003  -6.05173E-006
     9   9.86187E+002   1.71475E-002   0.00000E+000   2.55346E+000   1.17754E-007   2.93487E-003  -1.73232E-006
    10   9.76867E+002   1.13978E-002   0.00000E+000   2.04521E+000   1.22768E-007   2.81942E-003   1.42783E-006
    11   9.72211E+002   9.44375E-003   0.00000E+000   1.69932E+000   1.27274E-007   2.71118E-003   3.30038E-006
    12   9.70965E+002   8.77361E-003   0.00000E+000   1.49755E+000   1.31277E-007   2.60955E-003   3.94855E-006
    13   9.72713E+002   8.19605E-003   0.00000E+000   1.41402E+000   1.34896E-007   2.51529E-003   3.58509E-006
    14   9.76484E+002   7.54324E-003   0.00000E+000   1.41831E+000   1.38120E-007   2.42717E-003   2.51198E-006
    15   9.82242E+002   7.08814E-003   0.00000E+000   1.48155E+000   1.41033E-007   2.34471E-003   1.06400E-006
    16   9.89568E+002   7.07156E-003   0.00000E+000   1.57870E+000   1.43651E-007   2.26709E-003  -4.44893E-007
    17   9.98017E+002   7.51643E-003   0.00000E+000   1.68998E+000   1.45973E-007   2.19371E-003  -1.76071E-006
    18   1.00682E+003   8.27667E-003   0.00000E+000   1.80049E+000   1.48069E-007   2.12408E-003  -2.71567E-006
    19   1.01824E+003   9.19909E-003   0.00000E+000   1.90756E+000   1.49944E-007   2.05735E-003  -3.23506E-006
    20   1.02969E+003   1.01986E-002   0.00000E+000   2.00277E+000   1.51602E-007   1.99372E-003  -3.32701E-006
    21   1.04175E+003   1.13113E-002   0.00000E+000   2.08778E+000   1.53073E-007   1.93261E-003  -3.06645E-006
    22   1.05443E+003   1.26341E-002   0.00000E+000   2.16473E+000   1.54381E-007   1.87408E-003  -2.56994E-006
    23   1.06761E+003   1.42623E-002   0.00000E+000   2.23645E+000   1.55529E-007   1.81813E-003  -1.96985E-006
    24   1.08128E+003   1.62464E-002   0.00000E+000   2.30649E+000   1.56530E-007   1.76463E-003  -1.39041E-006
    25   1.09533E+003   1.85870E-002   0.00000E+000   2.37634E+000   1.57396E-007   1.71374E-003  -9.29159E-007
    26   1.10980E+003   2.12566E-002   0.00000E+000   2.44809E+000   1.58143E-007   1.66512E-003  -6.46384E-007
    27   1.12456E+003   2.42249E-002   0.00000E+000   2.51982E+000   1.58772E-007   1.61907E-003  -5.63383E-007
    28   1.13967E+003   2.74751E-002   0.00000E+000   2.59178E+000   1.59299E-007   1.57511E-003  -6.65430E-007
    29   1.15510E+003   3.10019E-002   0.00000E+000   2.65960E+000   1.59720E-007   1.53341E-003  -9.08752E-007
    30   1.17081E+003   3.48067E-002   0.00000E+000   2.72230E+000   1.60057E-007   1.49339E-003  -1.23289E-006
    31   1.18676E+003   3.88863E-002   0.00000E+000   2.77471E+000   1.60304E-007   1.45524E-003  -1.57400E-006
    32   1.20302E+003   4.32354E-002   0.00000E+000   2.81638E+000   1.60477E-007   1.41853E-003  -1.87689E-006
    33   1.21955E+003   4.78474E-002   0.00000E+000   2.84338E+000   1.60573E-007   1.38338E-003  -2.10051E-006
    34   1.23630E+003   5.27232E-002   0.00000E+000   2.85580E+000   1.60604E-007   1.34938E-003  -2.22190E-006
    35   1.25333E+003   5.78715E-002   0.00000E+000   2.85214E+000   1.60571E-007   1.31660E-003  -2.23776E-006
    36   1.27064E+003   6.33094E-002   0.00000E+000   2.83362E+000   1.60479E-007   1.28489E-003  -2.16377E-006
    37   1.28818E+003   6.90559E-002   0.00000E+000   2.80006E+000   1.60332E-007   1.25439E-003  -2.02832E-006
    38   1.30597E+003   7.51317E-002   0.00000E+000   2.75282E+000   1.60135E-007   1.22493E-003  -1.86527E-006
    39   1.32401E+003   8.15394E-002   0.00000E+000   2.69275E+000   1.59889E-007   1.19648E-003  -1.70336E-006
    40   1.34215E+003   8.82829E-002   0.00000E+000   2.62035E+000   1.59599E-007   1.16908E-003  -1.56969E-006
    41   1.36061E+003   9.53683E-002   0.00000E+000   2.53592E+000   1.59267E-007   1.14274E-003  -1.48693E-006
    42   1.37924E+003   1.02792E-001   0.00000E+000   2.43955E+000   1.58898E-007   1.11740E-003  -1.46053E-006
    43   1.39822E+003   1.10548E-001   0.00000E+000   2.33095E+000   1.58493E-007   1.09299E-003  -1.48880E-006
    44   1.41723E+003   1.18624E-001   0.00000E+000   2.20906E+000   1.58055E-007   1.06945E-003  -1.55874E-006
    45   1.43651E+003   1.27020E-001   0.00000E+000   2.07308E+000   1.57584E-007   1.04674E-003  -1.65427E-006
    46   1.45607E+003   1.35742E-001   0.00000E+000   1.92218E+000   1.57085E-007   1.02483E-003  -1.75828E-006
    47   1.47589E+003   1.44772E-001   0.00000E+000   1.75575E+000   1.56559E-007   1.00365E-003  -1.85417E-006
    48   1.49589E+003   1.54108E-001   0.00000E+000   1.57285E+000   1.56008E-007   9.83148E-004  -1.92836E-006
    49   1.51609E+003   1.63742E-001   0.00000E+000   1.37305E+000   1.55434E-007   9.63250E-004  -1.97071E-006
    50   1.53665E+003   1.73689E-001   0.00000E+000   1.15637E+000   1.54839E-007   9.43962E-004  -1.98188E-006
    51   1.55732E+003   1.83937E-001   0.00000E+000   9.23214E-001   1.54223E-007   9.25286E-004  -1.96595E-006
    52   1.57845E+003   1.94462E-001   0.00000E+000   6.73782E-001   1.53589E-007   9.07167E-004  -1.92979E-006
    53   1.59977E+003   2.05294E-001   0.00000E+000   4.08227E-001   1.52937E-007   8.89552E-004  -1.88154E-006
    54   1.62118E+003   2.16405E-001   0.00000E+000   1.27292E-001   1.52270E-007   8.72448E-004  -1.83154E-006
    55   1.64285E+003   2.27801E-001   0.00000E+000  -1.68358E-001   1.51589E-007   8.55872E-004  -1.78964E-006
    56   1.66486E+003   2.39475E-001   0.00000E+000  -4.78597E-001   1.50894E-007   8.39811E-004  -1.76167E-006
    57   1.68704E+003   2.51412E-001   0.00000E+000  -8.03486E-001   1.50186E-007   8.24242E-004  -1.75138E-006
    58   1.70950E+003   2.63613E-001   0.00000E+000  -1.14320E+000   1.49467E-007   8.09142E-004  -1.75820E-006
    59   1.73220E+003   2.76073E-001   0.00000E+000  -1.49762E+000   1.48738E-007   7.94489E-004  -1.77924E-006
    60   1.75518E+003   2.88743E-001   0.00000E+000  -1.86558E+000   1.48001E-007   7.80266E-004  -1.80652E-006
    61   1.77875E+003   3.01626E-001   0.00000E+000  -2.24604E+000   1.47254E-007   7.66459E-004  -1.83231E-006
    62   1.80231E+003   3.14712E-001   0.00000E+000  -2.64023E+000   1.46499E-007   7.53051E-004  -1.85477E-006
    63   1.82603E+003   3.27991E-001   0.00000E+000  -3.04963E+000   1.45737E-007   7.40022E-004  -1.87358E-006
