#           k/h    P           
   1.00000E-004   3.24736E+002
   1.02020E-004   3.31027E+002
   1.04081E-004   3.37440E+002
   1.06184E-004   3.43978E+002
   1.08329E-004   3.50641E+002
   1.10517E-004   3.57434E+002
   1.12750E-004   3.64358E+002
   1.15027E-004   3.71416E+002
   1.17351E-004   3.78611E+002
   1.19722E-004   3.85944E+002
   1.22140E-004   3.93420E+002
   1.24608E-004   4.01040E+002
   1.27125E-004   4.08807E+002
   1.29693E-004   4.16725E+002
   1.32313E-004   4.24795E+002
   1.34986E-004   4.33022E+002
   1.37713E-004   4.41407E+002
   1.40495E-004   4.49955E+002
   1.43333E-004   4.58667E+002
   1.46228E-004   4.67548E+002
   1.49182E-004   4.76601E+002
   1.52196E-004   4.85828E+002
   1.55271E-004   4.95233E+002
   1.58407E-004   5.04820E+002
   1.61607E-004   5.14592E+002
   1.64872E-004   5.24553E+002
   1.68203E-004   5.34706E+002
   1.71601E-004   5.45054E+002
   1.75067E-004   5.55603E+002
   1.78604E-004   5.66354E+002
   1.82212E-004   5.77313E+002
   1.85893E-004   5.88483E+002
   1.89648E-004   5.99869E+002
   1.93479E-004   6.11473E+002
   1.97388E-004   6.23302E+002
   2.01375E-004   6.35358E+002
   2.05443E-004   6.47646E+002
   2.09594E-004   6.60170E+002
   2.13828E-004   6.72936E+002
   2.18147E-004   6.85947E+002
   2.22554E-004   6.99209E+002
   2.27050E-004   7.12725E+002
   2.31637E-004   7.26501E+002
   2.36316E-004   7.40542E+002
   2.41090E-004   7.54852E+002
   2.45960E-004   7.69437E+002
   2.50929E-004   7.84302E+002
   2.55998E-004   7.99452E+002
   2.61170E-004   8.14892E+002
   2.66446E-004   8.30629E+002
   2.71828E-004   8.46667E+002
   2.77319E-004   8.63012E+002
   2.82922E-004   8.79670E+002
   2.88637E-004   8.96646E+002
   2.94468E-004   9.13948E+002
   3.00417E-004   9.31579E+002
   3.06485E-004   9.49548E+002
   3.12677E-004   9.67860E+002
   3.18993E-004   9.86521E+002
   3.25437E-004   1.00554E+003
   3.32012E-004   1.02492E+003
   3.38719E-004   1.04466E+003
   3.45561E-004   1.06479E+003
   3.52542E-004   1.08530E+003
   3.59664E-004   1.10619E+003
   3.66930E-004   1.12749E+003
   3.74342E-004   1.14918E+003
   3.81904E-004   1.17129E+003
   3.89619E-004   1.19382E+003
   3.97490E-004   1.21677E+003
   4.05520E-004   1.24016E+003
   4.13712E-004   1.26399E+003
   4.22070E-004   1.28827E+003
   4.30596E-004   1.31301E+003
   4.39295E-004   1.33822E+003
   4.48169E-004   1.36390E+003
   4.57222E-004   1.39006E+003
   4.66459E-004   1.41671E+003
   4.75882E-004   1.44387E+003
   4.85496E-004   1.47153E+003
   4.95303E-004   1.49971E+003
   5.05309E-004   1.52842E+003
   5.15517E-004   1.55766E+003
   5.25931E-004   1.58745E+003
   5.36556E-004   1.61780E+003
   5.47395E-004   1.64871E+003
   5.58453E-004   1.68019E+003
   5.69734E-004   1.71226E+003
   5.81244E-004   1.74492E+003
   5.92986E-004   1.77819E+003
   6.04965E-004   1.81207E+003
   6.17186E-004   1.84658E+003
   6.29654E-004   1.88172E+003
   6.42374E-004   1.91751E+003
   6.55350E-004   1.95395E+003
   6.68589E-004   1.99106E+003
   6.82096E-004   2.02886E+003
   6.95875E-004   2.06734E+003
   7.09933E-004   2.10652E+003
   7.24274E-004   2.14642E+003
   7.38906E-004   2.18704E+003
   7.53832E-004   2.22839E+003
   7.69061E-004   2.27049E+003
   7.84597E-004   2.31336E+003
   8.00447E-004   2.35699E+003
   8.16617E-004   2.40141E+003
   8.33114E-004   2.44663E+003
   8.49944E-004   2.49265E+003
   8.67114E-004   2.53949E+003
   8.84631E-004   2.58717E+003
   9.02501E-004   2.63570E+003
   9.20733E-004   2.68508E+003
   9.39333E-004   2.73533E+003
   9.58309E-004   2.78647E+003
   9.77668E-004   2.83851E+003
   9.97418E-004   2.89146E+003
   1.01757E-003   2.94534E+003
   1.03812E-003   3.00015E+003
   1.05910E-003   3.05591E+003
   1.08049E-003   3.11264E+003
   1.10232E-003   3.17034E+003
   1.12459E-003   3.22904E+003
   1.14730E-003   3.28874E+003
   1.17048E-003   3.34946E+003
   1.19413E-003   3.41122E+003
   1.21825E-003   3.47402E+003
   1.24286E-003   3.53787E+003
   1.26797E-003   3.60280E+003
   1.29358E-003   3.66882E+003
   1.31971E-003   3.73594E+003
   1.34637E-003   3.80417E+003
   1.37357E-003   3.87352E+003
   1.40132E-003   3.94402E+003
   1.42963E-003   4.01567E+003
   1.45851E-003   4.08849E+003
   1.48797E-003   4.16248E+003
   1.51803E-003   4.23767E+003
   1.54870E-003   4.31406E+003
   1.57998E-003   4.39167E+003
   1.61190E-003   4.47051E+003
   1.64446E-003   4.55059E+003
   1.67768E-003   4.63193E+003
   1.71158E-003   4.71453E+003
   1.74615E-003   4.79841E+003
   1.78143E-003   4.88357E+003
   1.81741E-003   4.97004E+003
   1.85413E-003   5.05782E+003
   1.89158E-003   5.14691E+003
   1.92980E-003   5.23734E+003
   1.96878E-003   5.32911E+003
   2.00855E-003   5.42223E+003
   2.04913E-003   5.51671E+003
   2.09052E-003   5.61255E+003
   2.13276E-003   5.70977E+003
   2.17584E-003   5.80837E+003
   2.21979E-003   5.90836E+003
   2.26464E-003   6.00974E+003
   2.31039E-003   6.11252E+003
   2.35706E-003   6.21671E+003
   2.40467E-003   6.32231E+003
   2.45325E-003   6.42932E+003
   2.50281E-003   6.53775E+003
   2.55337E-003   6.64760E+003
   2.60495E-003   6.75887E+003
