#           k/h    P           
   1.00000E-004   2.03286E+002
   1.02020E-004   2.07225E+002
   1.04081E-004   2.11240E+002
   1.06184E-004   2.15332E+002
   1.08329E-004   2.19504E+002
   1.10517E-004   2.23756E+002
   1.12750E-004   2.28091E+002
   1.15027E-004   2.32510E+002
   1.17351E-004   2.37014E+002
   1.19722E-004   2.41605E+002
   1.22140E-004   2.46285E+002
   1.24608E-004   2.51055E+002
   1.27125E-004   2.55918E+002
   1.29693E-004   2.60875E+002
   1.32313E-004   2.65927E+002
   1.34986E-004   2.71077E+002
   1.37713E-004   2.76327E+002
   1.40495E-004   2.81678E+002
   1.43333E-004   2.87133E+002
   1.46228E-004   2.92692E+002
   1.49182E-004   2.98360E+002
   1.52196E-004   3.04137E+002
   1.55271E-004   3.10025E+002
   1.58407E-004   3.16027E+002
   1.61607E-004   3.22145E+002
   1.64872E-004   3.28381E+002
   1.68203E-004   3.34737E+002
   1.71601E-004   3.41216E+002
   1.75067E-004   3.47820E+002
   1.78604E-004   3.54551E+002
   1.82212E-004   3.61412E+002
   1.85893E-004   3.68406E+002
   1.89648E-004   3.75534E+002
   1.93479E-004   3.82800E+002
   1.97388E-004   3.90205E+002
   2.01375E-004   3.97754E+002
   2.05443E-004   4.05447E+002
   2.09594E-004   4.13289E+002
   2.13828E-004   4.21282E+002
   2.18147E-004   4.29428E+002
   2.22554E-004   4.37731E+002
   2.27050E-004   4.46194E+002
   2.31637E-004   4.54819E+002
   2.36316E-004   4.63611E+002
   2.41090E-004   4.72571E+002
   2.45960E-004   4.81703E+002
   2.50929E-004   4.91011E+002
   2.55998E-004   5.00497E+002
   2.61170E-004   5.10165E+002
   2.66446E-004   5.20019E+002
   2.71828E-004   5.30061E+002
   2.77319E-004   5.40296E+002
   2.82922E-004   5.50727E+002
   2.88637E-004   5.61357E+002
   2.94468E-004   5.72191E+002
   3.00417E-004   5.83232E+002
   3.06485E-004   5.94484E+002
   3.12677E-004   6.05951E+002
   3.18993E-004   6.17637E+002
   3.25437E-004   6.29545E+002
   3.32012E-004   6.41681E+002
   3.38719E-004   6.54048E+002
   3.45561E-004   6.66651E+002
   3.52542E-004   6.79493E+002
   3.59664E-004   6.92580E+002
   3.66930E-004   7.05915E+002
   3.74342E-004   7.19504E+002
   3.81904E-004   7.33351E+002
   3.89619E-004   7.47460E+002
   3.97490E-004   7.61836E+002
   4.05520E-004   7.76484E+002
   4.13712E-004   7.91410E+002
   4.22070E-004   8.06617E+002
   4.30596E-004   8.22112E+002
   4.39295E-004   8.37899E+002
   4.48169E-004   8.53983E+002
   4.57222E-004   8.70370E+002
   4.66459E-004   8.87065E+002
