#    L    TT             EE             TE             PP             TP          
     2   1.33895E+003   7.85749E-002   5.20082E+000   1.20290E+006   3.35847E+004
     3   1.24613E+003   1.22534E-001   6.31852E+000   1.85013E+006   4.01789E+004
     4   1.16419E+003   1.32514E-001   6.35705E+000   2.42579E+006   4.33465E+004
     5   1.10189E+003   1.14139E-001   5.77852E+000   2.93420E+006   4.46728E+004
     6   1.05637E+003   8.27965E-002   4.93266E+000   3.38286E+006   4.49429E+004
     7   1.02391E+003   5.22854E-002   4.04015E+000   3.78065E+006   4.45870E+004
     8   1.00119E+003   2.99927E-002   3.22640E+000   4.13486E+006   4.38566E+004
     9   9.86187E+002   1.71475E-002   2.55346E+000   4.45176E+006   4.29120E+004
    10   9.76867E+002   1.13978E-002   2.04521E+000   4.73557E+006   4.18502E+004
    11   9.72211E+002   9.44375E-003   1.69932E+000   4.99153E+006   4.07476E+004
    12   9.70965E+002   8.77361E-003   1.49755E+000   5.22079E+006   3.96322E+004
    13   9.72713E+002   8.19605E-003   1.41402E+000   5.42879E+006   3.85422E+004
    14   9.76484E+002   7.54324E-003   1.41831E+000   5.61569E+006   3.74784E+004
    15   9.82242E+002   7.08814E-003   1.48155E+000   5.78545E+006   3.64478E+004
    16   9.89568E+002   7.07156E-003   1.57870E+000   5.93912E+006   3.54489E+004
    17   9.98017E+002   7.51643E-003   1.68998E+000   6.07711E+006   3.44802E+004
    18   1.00682E+003   8.27667E-003   1.80049E+000   6.20260E+006   3.35409E+004
    19   1.01824E+003   9.19909E-003   1.90756E+000   6.31609E+006   3.26226E+004
    20   1.02969E+003   1.01986E-002   2.00277E+000   6.41797E+006   3.17327E+004
    21   1.04175E+003   1.13113E-002   2.08778E+000   6.50975E+006   3.08650E+004
    22   1.05443E+003   1.26341E-002   2.16473E+000   6.59260E+006   3.00232E+004
    23   1.06761E+003   1.42623E-002   2.23645E+000   6.66677E+006   2.92097E+004
    24   1.08128E+003   1.62464E-002   2.30649E+000   6.73304E+006   2.84240E+004
    25   1.09533E+003   1.85870E-002   2.37634E+000   6.79201E+006   2.76707E+004
