#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.205458E-05   0.155738E+08   0.155738E+08   0.207647E+08   0.207647E+08   0.000000E+00   0.155738E+08   0.155738E+08   0.155830E+08  -0.556087E+00   0.151522E+08   0.151522E+08   0.185015E+01
   0.209601E-05   0.155738E+08   0.155738E+08   0.207647E+08   0.207647E+08   0.000000E+00   0.155738E+08   0.155738E+08   0.155830E+08  -0.556087E+00   0.151522E+08   0.151522E+08   0.188747E+01
   0.213829E-05   0.155738E+08   0.155738E+08   0.207647E+08   0.207647E+08   0.000000E+00   0.155738E+08   0.155738E+08   0.155830E+08  -0.556087E+00   0.151522E+08   0.151522E+08   0.192553E+01
   0.218141E-05   0.155738E+08   0.155738E+08   0.207647E+08   0.207647E+08   0.000000E+00   0.155738E+08   0.155738E+08   0.155830E+08  -0.556087E+00   0.151521E+08   0.151521E+08   0.196437E+01
   0.222541E-05   0.155738E+08   0.155738E+08   0.207647E+08   0.207646E+08   0.000000E+00   0.155738E+08   0.155738E+08   0.155830E+08  -0.556087E+00   0.151521E+08   0.151521E+08   0.200399E+01
   0.227029E-05   0.155738E+08   0.155738E+08   0.207646E+08   0.207646E+08   0.000000E+00   0.155738E+08   0.155738E+08   0.155830E+08  -0.556086E+00   0.151521E+08   0.151521E+08   0.204440E+01
   0.231608E-05   0.155738E+08   0.155738E+08   0.207646E+08   0.207646E+08   0.000000E+00   0.155738E+08   0.155738E+08   0.155830E+08  -0.556086E+00   0.151521E+08   0.151521E+08   0.208563E+01
   0.236279E-05   0.155738E+08   0.155738E+08   0.207646E+08   0.207646E+08   0.000000E+00   0.155738E+08   0.155738E+08   0.155830E+08  -0.556086E+00   0.151521E+08   0.151521E+08   0.212770E+01
   0.241044E-05   0.155738E+08   0.155738E+08   0.207646E+08   0.207646E+08   0.000000E+00   0.155738E+08   0.155738E+08   0.155830E+08  -0.556086E+00   0.151521E+08   0.151521E+08   0.217061E+01
   0.245906E-05   0.155738E+08   0.155738E+08   0.207646E+08   0.207645E+08   0.000000E+00   0.155738E+08   0.155738E+08   0.155830E+08  -0.556085E+00   0.151521E+08   0.151521E+08   0.221438E+01
   0.250865E-05   0.155738E+08   0.155738E+08   0.207645E+08   0.207645E+08   0.000000E+00   0.155738E+08   0.155738E+08   0.155830E+08  -0.556085E+00   0.151520E+08   0.151520E+08   0.225904E+01
   0.255925E-05   0.155738E+08   0.155738E+08   0.207645E+08   0.207645E+08   0.000000E+00   0.155738E+08   0.155738E+08   0.155830E+08  -0.556085E+00   0.151520E+08   0.151520E+08   0.230460E+01
   0.261086E-05   0.155738E+08   0.155738E+08   0.207645E+08   0.207645E+08   0.000000E+00   0.155738E+08   0.155738E+08   0.155830E+08  -0.556085E+00   0.151520E+08   0.151520E+08   0.235108E+01
   0.266352E-05   0.155738E+08   0.155738E+08   0.207645E+08   0.207645E+08   0.000000E+00   0.155738E+08   0.155738E+08   0.155830E+08  -0.556084E+00   0.151520E+08   0.151520E+08   0.239850E+01
   0.271724E-05   0.155738E+08   0.155738E+08   0.207645E+08   0.207644E+08   0.000000E+00   0.155738E+08   0.155738E+08   0.155830E+08  -0.556084E+00   0.151520E+08   0.151520E+08   0.244687E+01
   0.277204E-05   0.155738E+08   0.155738E+08   0.207644E+08   0.207644E+08   0.000000E+00   0.155738E+08   0.155738E+08   0.155830E+08  -0.556084E+00   0.151519E+08   0.151519E+08   0.249622E+01
   0.282795E-05   0.155738E+08   0.155738E+08   0.207644E+08   0.207644E+08   0.000000E+00   0.155738E+08   0.155738E+08   0.155830E+08  -0.556083E+00   0.151519E+08   0.151519E+08   0.254656E+01
   0.288498E-05   0.155738E+08   0.155738E+08   0.207644E+08   0.207643E+08   0.000000E+00   0.155738E+08   0.155738E+08   0.155830E+08  -0.556083E+00   0.151519E+08   0.151519E+08   0.259792E+01
