#    L    TT             EE             BB             TE          
     2   1.25148E+003   6.05928E-002   1.97675E-006   4.03284E+000
     3   1.17760E+003   1.00359E-001   3.96270E-006   5.04667E+000
     4   1.10540E+003   1.14876E-001   6.62417E-006   5.21097E+000
     5   1.04869E+003   1.04160E-001   9.97117E-006   4.85918E+000
     6   1.00692E+003   7.89644E-002   1.40141E-005   4.25536E+000
     7   9.77328E+002   5.16374E-002   1.87622E-005   3.57113E+000
     8   9.57031E+002   3.03393E-002   2.42223E-005   2.91120E+000
     9   9.44175E+002   1.75835E-002   3.03971E-005   2.33572E+000
    10   9.36812E+002   1.18110E-002   3.72843E-005   1.87755E+000
    11   9.33912E+002   9.90900E-003   4.48769E-005   1.54752E+000
    12   9.34256E+002   9.25290E-003   5.31635E-005   1.34009E+000
    13   9.37381E+002   8.53602E-003   6.21308E-005   1.23900E+000
    14   9.42369E+002   7.58614E-003   7.17656E-005   1.22023E+000
    15   9.49152E+002   6.75135E-003   8.20582E-005   1.25821E+000
    16   9.57348E+002   6.35090E-003   9.30047E-005   1.32935E+000
    17   9.66566E+002   6.44000E-003   1.04609E-004   1.41439E+000
    18   9.76181E+002   6.85609E-003   1.16882E-004   1.49845E+000
    19   9.87975E+002   7.40146E-003   1.29843E-004   1.57730E+000
    20   9.99870E+002   7.95961E-003   1.43513E-004   1.64399E+000
    21   1.01233E+003   8.55357E-003   1.57914E-004   1.69996E+000
    22   1.02535E+003   9.28765E-003   1.73064E-004   1.74788E+000
    23   1.03882E+003   1.02725E-002   1.88972E-004   1.79138E+000
    24   1.05271E+003   1.15704E-002   2.05639E-004   1.83453E+000
    25   1.06696E+003   1.31858E-002   2.23054E-004   1.87961E+000
    26   1.08157E+003   1.50875E-002   2.41199E-004   1.92873E+000
    27   1.09645E+003   1.72396E-002   2.60051E-004   1.98059E+000
    28   1.11163E+003   1.96204E-002   2.79591E-004   2.03488E+000
    29   1.12709E+003   2.22233E-002   2.99800E-004   2.08770E+000
    30   1.14280E+003   2.50500E-002   3.20675E-004   2.13731E+000
    31   1.15873E+003   2.80993E-002   3.42219E-004   2.17905E+000
    32   1.17493E+003   3.13670E-002   3.64450E-004   2.21171E+000
    33   1.19138E+003   3.48479E-002   3.87391E-004   2.23188E+000
    34   1.20802E+003   3.85440E-002   4.11071E-004   2.23924E+000
    35   1.22492E+003   4.24658E-002   4.35514E-004   2.23258E+000
    36   1.24206E+003   4.66330E-002   4.60736E-004   2.21287E+000
    37   1.25941E+003   5.10677E-002   4.86741E-004   2.18023E+000
    38   1.27699E+003   5.57942E-002   5.13519E-004   2.13592E+000
    39   1.29479E+003   6.08189E-002   5.41050E-004   2.08077E+000
    40   1.31266E+003   6.61498E-002   5.69307E-004   2.01538E+000
    41   1.33083E+003   7.17972E-002   5.98260E-004   1.94005E+000
    42   1.34915E+003   7.77613E-002   6.27885E-004   1.85482E+000
    43   1.36778E+003   8.40418E-002   6.58170E-004   1.75934E+000
    44   1.38643E+003   9.06301E-002   6.89116E-004   1.65255E+000
    45   1.40532E+003   9.75319E-002   7.20739E-004   1.53365E+000
    46   1.42447E+003   1.04756E-001   7.53063E-004   1.40171E+000
    47   1.44384E+003   1.12291E-001   7.86121E-004   1.25599E+000
    48   1.46336E+003   1.20141E-001   8.19940E-004   1.09558E+000
    49   1.48306E+003   1.28302E-001   8.54540E-004   9.20010E-001
    50   1.50310E+003   1.36795E-001   8.89929E-004   7.29177E-001
    51   1.52322E+003   1.45613E-001   9.26096E-004   5.23330E-001
    52   1.54376E+003   1.54739E-001   9.63020E-004   3.02625E-001
    53   1.56446E+003   1.64210E-001   1.00067E-003   6.71691E-002
    54   1.58524E+003   1.74000E-001   1.03900E-003  -1.82478E-001
    55   1.60625E+003   1.84124E-001   1.07800E-003  -4.45835E-001
    56   1.62757E+003   1.94579E-001   1.11764E-003  -7.22832E-001
    57   1.64905E+003   2.05355E-001   1.15793E-003  -1.01359E+000
    58   1.67077E+003   2.16459E-001   1.19887E-003  -1.31845E+000
    59   1.69271E+003   2.27891E-001   1.24050E-003  -1.63747E+000
    60   1.71490E+003   2.39609E-001   1.28285E-003  -1.96959E+000
    61   1.73766E+003   2.51620E-001   1.32595E-003  -2.31383E+000
