#    L    TT             EE             BB             TE             PP             TP             EP          
     2   1.25148E+003   6.05908E-002   0.00000E+000   4.03284E+000   5.65066E-008   3.55762E-003  -1.81715E-005
     3   1.17760E+003   1.00355E-001   0.00000E+000   5.04667E+000   6.86645E-008   3.56167E-003  -2.23653E-005
     4   1.10539E+003   1.14869E-001   0.00000E+000   5.21098E+000   7.91341E-008   3.48750E-003  -2.27653E-005
     5   1.04867E+003   1.04150E-001   0.00000E+000   4.85919E+000   8.82278E-008   3.38082E-003  -2.03920E-005
     6   1.00689E+003   7.89504E-002   0.00000E+000   4.25538E+000   9.61603E-008   3.26027E-003  -1.62005E-005
     7   9.77291E+002   5.16187E-002   0.00000E+000   3.57117E+000   1.03142E-007   3.13523E-003  -1.11374E-005
     8   9.56983E+002   3.03152E-002   0.00000E+000   2.91126E+000   1.09323E-007   3.01073E-003  -6.04682E-006
     9   9.44117E+002   1.75533E-002   0.00000E+000   2.33578E+000   1.14828E-007   2.89010E-003  -1.60500E-006
    10   9.36742E+002   1.17740E-002   0.00000E+000   1.87762E+000   1.19733E-007   2.77497E-003   1.73529E-006
    11   9.33829E+002   9.86448E-003   0.00000E+000   1.54760E+000   1.24141E-007   2.66714E-003   3.77308E-006
    12   9.34160E+002   9.20019E-003   0.00000E+000   1.34016E+000   1.28060E-007   2.56607E-003   4.52888E-006
    13   9.37270E+002   8.47441E-003   0.00000E+000   1.23907E+000   1.31604E-007   2.47255E-003   4.20032E-006
    14   9.42242E+002   7.51494E-003   0.00000E+000   1.22029E+000   1.34762E-007   2.38529E-003   3.09334E-006
    15   9.49008E+002   6.66986E-003   0.00000E+000   1.25827E+000   1.37617E-007   2.30386E-003   1.55900E-006
    16   9.57186E+002   6.25840E-003   0.00000E+000   1.32941E+000   1.40183E-007   2.22736E-003  -6.67378E-008
    17   9.66384E+002   6.33579E-003   0.00000E+000   1.41446E+000   1.42461E-007   2.15502E-003  -1.50676E-006
    18   9.75979E+002   6.73946E-003   0.00000E+000   1.49855E+000   1.44518E-007   2.08646E-003  -2.57287E-006
    19   9.87751E+002   7.27169E-003   0.00000E+000   1.57743E+000   1.46359E-007   2.02077E-003  -3.17568E-006
    20   9.99624E+002   7.81602E-003   0.00000E+000   1.64417E+000   1.47988E-007   1.95804E-003  -3.31623E-006
    21   1.01206E+003   8.39544E-003   0.00000E+000   1.70018E+000   1.49435E-007   1.89777E-003  -3.06942E-006
    22   1.02505E+003   9.11432E-003   0.00000E+000   1.74815E+000   1.50723E-007   1.84000E-003  -2.55753E-006
    23   1.03850E+003   1.00832E-002   0.00000E+000   1.79170E+000   1.51853E-007   1.78474E-003  -1.92209E-006
    24   1.05237E+003   1.13646E-002   0.00000E+000   1.83490E+000   1.52840E-007   1.73190E-003  -1.29758E-006
    25   1.06659E+003   1.29627E-002   0.00000E+000   1.88002E+000   1.53695E-007   1.68162E-003  -7.90837E-007
    26   1.08117E+003   1.48465E-002   0.00000E+000   1.92917E+000   1.54434E-007   1.63362E-003  -4.69175E-007
    27   1.09602E+003   1.69799E-002   0.00000E+000   1.98107E+000   1.55058E-007   1.58814E-003  -3.57996E-007
    28   1.11118E+003   1.93414E-002   0.00000E+000   2.03541E+000   1.55583E-007   1.54480E-003  -4.43781E-007
    29   1.12661E+003   2.19243E-002   0.00000E+000   2.08828E+000   1.56002E-007   1.50366E-003  -6.81638E-007
    30   1.14229E+003   2.47302E-002   0.00000E+000   2.13797E+000   1.56340E-007   1.46424E-003  -1.00837E-006
    31   1.15819E+003   2.77580E-002   0.00000E+000   2.17979E+000   1.56590E-007   1.42663E-003  -1.35679E-006
    32   1.17436E+003   3.10035E-002   0.00000E+000   2.21256E+000   1.56768E-007   1.39049E-003  -1.66839E-006
    33   1.19078E+003   3.44616E-002   0.00000E+000   2.23285E+000   1.56870E-007   1.35585E-003  -1.89950E-006
    34   1.20740E+003   3.81341E-002   0.00000E+000   2.24032E+000   1.56909E-007   1.32236E-003  -2.02558E-006
    35   1.22426E+003   4.20318E-002   0.00000E+000   2.23378E+000   1.56885E-007   1.29005E-003  -2.04279E-006
    36   1.24137E+003   4.61741E-002   0.00000E+000   2.21419E+000   1.56803E-007   1.25881E-003  -1.96713E-006
    37   1.25869E+003   5.05834E-002   0.00000E+000   2.18167E+000   1.56667E-007   1.22875E-003  -1.82783E-006
    38   1.27623E+003   5.52838E-002   0.00000E+000   2.13746E+000   1.56482E-007   1.19972E-003  -1.65997E-006
    39   1.29400E+003   6.02818E-002   0.00000E+000   2.08242E+000   1.56250E-007   1.17169E-003  -1.49319E-006
    40   1.31184E+003   6.55854E-002   0.00000E+000   2.01712E+000   1.55974E-007   1.14470E-003  -1.35534E-006
    41   1.32997E+003   7.12048E-002   0.00000E+000   1.94189E+000   1.55658E-007   1.11875E-003  -1.26973E-006
    42   1.34825E+003   7.71404E-002   0.00000E+000   1.85678E+000   1.55304E-007   1.09380E-003  -1.24173E-006
    43   1.36685E+003   8.33917E-002   0.00000E+000   1.76142E+000   1.54916E-007   1.06977E-003  -1.26937E-006
    44   1.38547E+003   8.99502E-002   0.00000E+000   1.65477E+000   1.54494E-007   1.04661E-003  -1.33924E-006
    45   1.40432E+003   9.68216E-002   0.00000E+000   1.53603E+000   1.54042E-007   1.02426E-003  -1.43483E-006
    46   1.42343E+003   1.04015E-001   0.00000E+000   1.40425E+000   1.53560E-007   1.00269E-003  -1.53868E-006
    47   1.44277E+003   1.11519E-001   0.00000E+000   1.25870E+000   1.53053E-007   9.81861E-004  -1.63389E-006
    48   1.46225E+003   1.19337E-001   0.00000E+000   1.09844E+000   1.52521E-007   9.61688E-004  -1.70693E-006
    49   1.48192E+003   1.27465E-001   0.00000E+000   9.23024E-001   1.51967E-007   9.42109E-004  -1.74781E-006
    50   1.50191E+003   1.35925E-001   0.00000E+000   7.32325E-001   1.51392E-007   9.23127E-004  -1.75744E-006
    51   1.52199E+003   1.44710E-001   0.00000E+000   5.26596E-001   1.50796E-007   9.04750E-004  -1.74016E-006
    52   1.54249E+003   1.53803E-001   0.00000E+000   3.05994E-001   1.50182E-007   8.86924E-004  -1.70310E-006
    53   1.56316E+003   1.63239E-001   0.00000E+000   7.06321E-002   1.49551E-007   8.69598E-004  -1.65463E-006
    54   1.58390E+003   1.72994E-001   0.00000E+000  -1.78925E-001   1.48905E-007   8.52779E-004  -1.60510E-006
    55   1.60487E+003   1.83083E-001   0.00000E+000  -4.42192E-001   1.48245E-007   8.36482E-004  -1.56434E-006
    56   1.62616E+003   1.93503E-001   0.00000E+000  -7.19094E-001   1.47571E-007   8.20695E-004  -1.53799E-006
    57   1.64759E+003   2.04243E-001   0.00000E+000  -1.00975E+000   1.46885E-007   8.05395E-004  -1.52960E-006
    58   1.66927E+003   2.15311E-001   0.00000E+000  -1.31450E+000   1.46188E-007   7.90559E-004  -1.53839E-006
    59   1.69117E+003   2.26707E-001   0.00000E+000  -1.63342E+000   1.45481E-007   7.76165E-004  -1.56130E-006
    60   1.71332E+003   2.38388E-001   0.00000E+000  -1.96544E+000   1.44765E-007   7.62195E-004  -1.59023E-006
    61   1.73604E+003   2.50362E-001   0.00000E+000  -2.30960E+000   1.44040E-007   7.48634E-004  -1.61737E-006
    62   1.75871E+003   2.62624E-001   0.00000E+000  -2.66728E+000   1.43307E-007   7.35465E-004  -1.64099E-006
    63   1.78153E+003   2.75168E-001   0.00000E+000  -3.04007E+000   1.42567E-007   7.22669E-004  -1.66084E-006
    64   1.80478E+003   2.88040E-001   0.00000E+000  -3.42981E+000   1.41820E-007   7.10228E-004  -1.67670E-006
    65   1.82805E+003   3.01249E-001   0.00000E+000  -3.83773E+000   1.41068E-007   6.98125E-004  -1.68833E-006
    66   1.85162E+003   3.14750E-001   0.00000E+000  -4.26253E+000   1.40311E-007   6.86342E-004  -1.69550E-006
    67   1.87532E+003   3.28529E-001   0.00000E+000  -4.70188E+000   1.39549E-007   6.74861E-004  -1.69798E-006
    68   1.89943E+003   3.42603E-001   0.00000E+000  -5.15419E+000   1.38783E-007   6.63667E-004  -1.69581E-006
    69   1.92374E+003   3.56902E-001   0.00000E+000  -5.61667E+000   1.38015E-007   6.52752E-004  -1.69013E-006
