#    L    TT             EE             TE             PP             TP          
     2   1.25148E+003   6.05908E-002   4.03284E+000   1.17216E+006   3.31626E+004
     3   1.17760E+003   1.00355E-001   5.04667E+000   1.80271E+006   3.96161E+004
     4   1.10539E+003   1.14869E-001   5.21098E+000   2.36383E+006   4.27341E+004
     5   1.04867E+003   1.04150E-001   4.85919E+000   2.85967E+006   4.40429E+004
     6   1.00689E+003   7.89504E-002   4.25538E+000   3.29742E+006   4.43057E+004
     7   9.77291E+002   5.16187E-002   3.57117E+000   3.68572E+006   4.39448E+004
     8   9.56983E+002   3.03152E-002   2.91126E+000   4.03160E+006   4.32085E+004
     9   9.44117E+002   1.75533E-002   2.33578E+000   4.34116E+006   4.22574E+004
    10   9.36742E+002   1.17740E-002   1.87762E+000   4.61849E+006   4.11904E+004
    11   9.33829E+002   9.86448E-003   1.54760E+000   4.86868E+006   4.00857E+004
    12   9.34160E+002   9.20019E-003   1.34016E+000   5.09285E+006   3.89718E+004
    13   9.37270E+002   8.47441E-003   1.23907E+000   5.29629E+006   3.78873E+004
    14   9.42242E+002   7.51494E-003   1.22029E+000   5.47916E+006   3.68317E+004
    15   9.49008E+002   6.66986E-003   1.25827E+000   5.64530E+006   3.58128E+004
    16   9.57186E+002   6.25840E-003   1.32941E+000   5.79575E+006   3.48275E+004
    17   9.66384E+002   6.33579E-003   1.41446E+000   5.93090E+006   3.38721E+004
    18   9.75979E+002   6.73946E-003   1.49855E+000   6.05386E+006   3.29469E+004
    19   9.87751E+002   7.27169E-003   1.57743E+000   6.16509E+006   3.20427E+004
    20   9.99624E+002   7.81602E-003   1.64417E+000   6.26499E+006   3.11648E+004
    21   1.01206E+003   8.39544E-003   1.70018E+000   6.35504E+006   3.03085E+004
    22   1.02505E+003   9.11432E-003   1.74815E+000   6.43637E+006   2.94772E+004
    23   1.03850E+003   1.00832E-002   1.79170E+000   6.50921E+006   2.86733E+004
    24   1.05237E+003   1.13646E-002   1.83490E+000   6.57434E+006   2.78969E+004
    25   1.06659E+003   1.29627E-002   1.88002E+000   6.63233E+006   2.71521E+004
    26   1.08117E+003   1.48465E-002   1.92917E+000   6.68399E+006   2.64357E+004
    27   1.09602E+003   1.69799E-002   1.98107E+000   6.72943E+006   2.57528E+004
    28   1.11118E+003   1.93414E-002   2.03541E+000   6.76945E+006   2.50979E+004
    29   1.12661E+003   2.19243E-002   2.08828E+000   6.80387E+006   2.44732E+004
    30   1.14229E+003   2.47302E-002   2.13797E+000   6.83379E+006   2.38713E+004
    31   1.15819E+003   2.77580E-002   2.17979E+000   6.85899E+006   2.32946E+004
    32   1.17436E+003   3.10035E-002   2.21256E+000   6.88020E+006   2.27377E+004
    33   1.19078E+003   3.44616E-002   2.23285E+000   6.89735E+006   2.22018E+004
    34   1.20740E+003   3.81341E-002   2.24032E+000   6.91102E+006   2.16816E+004
    35   1.22426E+003   4.20318E-002   2.23378E+000   6.92126E+006   2.11778E+004
    36   1.24137E+003   4.61741E-002   2.21419E+000   6.92830E+006   2.06889E+004
    37   1.25869E+003   5.05834E-002   2.18167E+000   6.93246E+006   2.02170E+004
    38   1.27623E+003   5.52838E-002   2.13746E+000   6.93386E+006   1.97598E+004
    39   1.29400E+003   6.02818E-002   2.08242E+000   6.93269E+006   1.93172E+004
    40   1.31184E+003   6.55854E-002   2.01712E+000   6.92911E+006   1.88899E+004
    41   1.32997E+003   7.12048E-002   1.94189E+000   6.92328E+006   1.84783E+004
    42   1.34825E+003   7.71404E-002   1.85678E+000   6.91539E+006   1.80816E+004
    43   1.36685E+003   8.33917E-002   1.76142E+000   6.90556E+006   1.76987E+004
    44   1.38547E+003   8.99502E-002   1.65477E+000   6.89390E+006   1.73289E+004
    45   1.40432E+003   9.68216E-002   1.53603E+000   6.88049E+006   1.69714E+004
    46   1.42343E+003   1.04015E-001   1.40425E+000   6.86548E+006   1.66259E+004
    47   1.44277E+003   1.11519E-001   1.25870E+000   6.84899E+006   1.62915E+004
    48   1.46225E+003   1.19337E-001   1.09844E+000   6.83113E+006   1.59672E+004
    49   1.48192E+003   1.27465E-001   9.23024E-001   6.81199E+006   1.56519E+004
    50   1.50191E+003   1.35925E-001   7.32325E-001   6.79163E+006   1.53457E+004
    51   1.52199E+003   1.44710E-001   5.26596E-001   6.77011E+006   1.50489E+004
    52   1.54249E+003   1.53803E-001   3.05994E-001   6.74753E+006   1.47606E+004
    53   1.56316E+003   1.63239E-001   7.06321E-002   6.72398E+006   1.44800E+004
    54   1.58390E+003   1.72994E-001  -1.78925E-001   6.69953E+006   1.42072E+004
    55   1.60487E+003   1.83083E-001  -4.42192E-001   6.67423E+006   1.39426E+004
    56   1.62616E+003   1.93503E-001  -7.19094E-001   6.64813E+006   1.36860E+004
    57   1.64759E+003   2.04243E-001  -1.00975E+000   6.62129E+006   1.34371E+004
    58   1.66927E+003   2.15311E-001  -1.31450E+000   6.59378E+006   1.31955E+004
    59   1.69117E+003   2.26707E-001  -1.63342E+000   6.56567E+006   1.29608E+004
    60   1.71332E+003   2.38388E-001  -1.96544E+000   6.53698E+006   1.27328E+004
    61   1.73604E+003   2.50362E-001  -2.30960E+000   6.50776E+006   1.25113E+004
    62   1.75871E+003   2.62624E-001  -2.66728E+000   6.47802E+006   1.22960E+004
    63   1.78153E+003   2.75168E-001  -3.04007E+000   6.44782E+006   1.20867E+004
    64   1.80478E+003   2.88040E-001  -3.42981E+000   6.41718E+006   1.18829E+004
    65   1.82805E+003   3.01249E-001  -3.83773E+000   6.38616E+006   1.16846E+004
    66   1.85162E+003   3.14750E-001  -4.26253E+000   6.35479E+006   1.14913E+004
    67   1.87532E+003   3.28529E-001  -4.70188E+000   6.32310E+006   1.13029E+004
    68   1.89943E+003   3.42603E-001  -5.15419E+000   6.29114E+006   1.11190E+004
    69   1.92374E+003   3.56902E-001  -5.61667E+000   6.25893E+006   1.09396E+004
    70   1.94841E+003   3.71441E-001  -6.08964E+000   6.22649E+006   1.07646E+004
    71   1.97332E+003   3.86188E-001  -6.57439E+000   6.19385E+006   1.05939E+004
    72   1.99850E+003   4.01125E-001  -7.07213E+000   6.16102E+006   1.04274E+004
    73   2.02388E+003   4.16237E-001  -7.58356E+000   6.12804E+006   1.02652E+004
    74   2.04949E+003   4.31529E-001  -8.10789E+000   6.09491E+006   1.01070E+004
    75   2.07542E+003   4.47030E-001  -8.64393E+000   6.06168E+006   9.95287E+003
    76   2.10158E+003   4.62753E-001  -9.19184E+000   6.02834E+006   9.80262E+003
    77   2.12804E+003   4.78684E-001  -9.75146E+000   5.99493E+006   9.65609E+003
    78   2.15485E+003   4.94836E-001  -1.03239E+001   5.96145E+006   9.51312E+003
    79   2.18186E+003   5.11143E-001  -1.09053E+001   5.92792E+006   9.37356E+003
    80   2.20920E+003   5.27596E-001  -1.14967E+001   5.89437E+006   9.23724E+003
    81   2.23677E+003   5.44135E-001  -1.20985E+001   5.86080E+006   9.10399E+003
    82   2.26465E+003   5.60782E-001  -1.27103E+001   5.82724E+006   8.97369E+003
    83   2.29275E+003   5.77512E-001  -1.33320E+001   5.79370E+006   8.84625E+003
    84   2.32117E+003   5.94320E-001  -1.39618E+001   5.76018E+006   8.72161E+003
