#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   1.25148E+003   4.03284E+000   1.45239E-003   4.03284E+000   6.05908E-002  -7.41850E-006   1.45239E-003  -7.41850E-006   9.41776E-009
     3   1.17760E+003   5.04667E+000   1.02817E-003   5.04667E+000   1.00355E-001  -6.45631E-006   1.02817E-003  -6.45631E-006   5.72204E-009
     4   1.10539E+003   5.21098E+000   7.79828E-004   5.21098E+000   1.14869E-001  -5.09047E-006   7.79828E-004  -5.09047E-006   3.95671E-009
     5   1.04867E+003   4.85919E+000   6.17250E-004   4.85919E+000   1.04150E-001  -3.72306E-006   6.17250E-004  -3.72306E-006   2.94093E-009
     6   1.00689E+003   4.25538E+000   5.03071E-004   4.25538E+000   7.89504E-002  -2.49979E-006   5.03071E-004  -2.49979E-006   2.28953E-009
     7   9.77291E+002   3.57117E+000   4.18963E-004   3.57117E+000   5.16187E-002  -1.48829E-006   4.18963E-004  -1.48829E-006   1.84181E-009
     8   9.56983E+002   2.91126E+000   3.54818E-004   2.91126E+000   3.03152E-002  -7.12625E-007   3.54818E-004  -7.12625E-007   1.51837E-009
     9   9.44117E+002   2.33578E+000   3.04644E-004   2.33578E+000   1.75533E-002  -1.69182E-007   3.04644E-004  -1.69182E-007   1.27587E-009
    10   9.36742E+002   1.87762E+000   2.64583E-004   1.87762E+000   1.17740E-002   1.65454E-007   2.64583E-004   1.65454E-007   1.08848E-009
    11   9.33829E+002   1.54760E+000   2.32145E-004   1.54760E+000   9.86448E-003   3.28405E-007   2.32145E-004   3.28405E-007   9.40464E-010
    12   9.34160E+002   1.34016E+000   2.05450E-004   1.34016E+000   9.20019E-003   3.62600E-007   2.05450E-004   3.62600E-007   8.20896E-010
    13   9.37270E+002   1.23907E+000   1.83278E-004   1.23907E+000   8.47441E-003   3.11348E-007   1.83278E-004   3.11348E-007   7.23099E-010
    14   9.42242E+002   1.22029E+000   1.64600E-004   1.22029E+000   7.51494E-003   2.13461E-007   1.64600E-004   2.13461E-007   6.41724E-010
    15   9.49008E+002   1.25827E+000   1.48713E-004   1.25827E+000   6.66986E-003   1.00633E-007   1.48713E-004   1.00633E-007   5.73404E-010
    16   9.57186E+002   1.32941E+000   1.35053E-004   1.32941E+000   6.25840E-003  -4.04657E-009   1.35053E-004  -4.04657E-009   5.15378E-010
    17   9.66384E+002   1.41446E+000   1.23194E-004   1.41446E+000   6.33579E-003  -8.61358E-008   1.23194E-004  -8.61358E-008   4.65559E-010
    18   9.75979E+002   1.49855E+000   1.12823E-004   1.49855E+000   6.73946E-003  -1.39125E-007   1.12823E-004  -1.39125E-007   4.22567E-010
    19   9.87751E+002   1.57743E+000   1.03663E-004   1.57743E+000   7.27169E-003  -1.62909E-007   1.03663E-004  -1.62909E-007   3.85156E-010
    20   9.99624E+002   1.64417E+000   9.55427E-005   1.64417E+000   7.81602E-003  -1.61815E-007   9.55427E-005  -1.61815E-007   3.52353E-010
    21   1.01206E+003   1.70018E+000   8.82921E-005   1.70018E+000   8.39544E-003  -1.42802E-007   8.82921E-005  -1.42802E-007   3.23453E-010
    22   1.02505E+003   1.74815E+000   8.17981E-005   1.74815E+000   9.11432E-003  -1.13696E-007   8.17981E-005  -1.13696E-007   2.97871E-010
    23   1.03850E+003   1.79170E+000   7.59638E-005   1.79170E+000   1.00832E-002  -8.18094E-008   7.59638E-005  -8.18094E-008   2.75096E-010
    24   1.05237E+003   1.83490E+000   7.07046E-005   1.83490E+000   1.13646E-002  -5.29734E-008   7.07046E-005  -5.29734E-008   2.54734E-010
    25   1.06659E+003   1.88002E+000   6.59585E-005   1.88002E+000   1.29627E-002  -3.10192E-008   6.59585E-005  -3.10192E-008   2.36454E-010
    26   1.08117E+003   1.92917E+000   6.16569E-005   1.92917E+000   1.48465E-002  -1.77079E-008   6.16569E-005  -1.77079E-008   2.19992E-010
    27   1.09602E+003   1.98107E+000   5.77602E-005   1.98107E+000   1.69799E-002  -1.30202E-008   5.77602E-005  -1.30202E-008   2.05103E-010
    28   1.11118E+003   2.03541E+000   5.42118E-005   2.03541E+000   1.93414E-002  -1.55737E-008   5.42118E-005  -1.55737E-008   1.91604E-010
    29   1.12661E+003   2.08828E+000   5.09788E-005   2.08828E+000   2.19243E-002  -2.31097E-008   5.09788E-005  -2.31097E-008   1.79313E-010
    30   1.14229E+003   2.13797E+000   4.80142E-005   2.13797E+000   2.47302E-002  -3.30658E-008   4.80142E-005  -3.30658E-008   1.68108E-010
    31   1.15819E+003   2.17979E+000   4.52957E-005   2.17979E+000   2.77580E-002  -4.30783E-008   4.52957E-005  -4.30783E-008   1.57853E-010
    32   1.17436E+003   2.21256E+000   4.27893E-005   2.21256E+000   3.10035E-002  -5.13410E-008   4.27893E-005  -5.13410E-008   1.48454E-010
    33   1.19078E+003   2.23285E+000   4.04775E-005   2.23285E+000   3.44616E-002  -5.67079E-008   4.04775E-005  -5.67079E-008   1.39813E-010
    34   1.20740E+003   2.24032E+000   3.83332E-005   2.24032E+000   3.81341E-002  -5.87185E-008   3.83332E-005  -5.87185E-008   1.31856E-010
    35   1.22426E+003   2.23378E+000   3.63431E-005   2.23378E+000   4.20318E-002  -5.75491E-008   3.63431E-005  -5.75491E-008   1.24512E-010
    36   1.24137E+003   2.21419E+000   3.44912E-005   2.21419E+000   4.61741E-002  -5.38990E-008   3.44912E-005  -5.38990E-008   1.17720E-010
    37   1.25869E+003   2.18167E+000   3.27695E-005   2.18167E+000   5.05834E-002  -4.87466E-008   3.27695E-005  -4.87466E-008   1.11428E-010
    38   1.27623E+003   2.13746E+000   3.11639E-005   2.13746E+000   5.52838E-002  -4.31415E-008   3.11639E-005  -4.31415E-008   1.05587E-010
    39   1.29400E+003   2.08242E+000   2.96652E-005   2.08242E+000   6.02818E-002  -3.78281E-008   2.96652E-005  -3.78281E-008   1.00159E-010
    40   1.31184E+003   2.01712E+000   2.82663E-005   2.01712E+000   6.55854E-002  -3.34677E-008   2.82663E-005  -3.34677E-008   9.51062E-011
    41   1.32997E+003   1.94189E+000   2.69599E-005   1.94189E+000   7.12048E-002  -3.05925E-008   2.69599E-005  -3.05925E-008   9.03937E-011
    42   1.34825E+003   1.85678E+000   2.57383E-005   1.85678E+000   7.71404E-002  -2.92192E-008   2.57383E-005  -2.92192E-008   8.59933E-011
    43   1.36685E+003   1.76142E+000   2.45941E-005   1.76142E+000   8.33917E-002  -2.91818E-008   2.45941E-005  -2.91818E-008   8.18791E-011
    44   1.38547E+003   1.65477E+000   2.35207E-005   1.65477E+000   8.99502E-002  -3.00971E-008   2.35207E-005  -3.00971E-008   7.80274E-011
    45   1.40432E+003   1.53603E+000   2.25126E-005   1.53603E+000   9.68216E-002  -3.15350E-008   2.25126E-005  -3.15350E-008   7.44162E-011
    46   1.42343E+003   1.40425E+000   2.15646E-005   1.40425E+000   1.04015E-001  -3.30918E-008   2.15646E-005  -3.30918E-008   7.10269E-011
    47   1.44277E+003   1.25870E+000   2.06719E-005   1.25870E+000   1.11519E-001  -3.43984E-008   2.06719E-005  -3.43984E-008   6.78425E-011
    48   1.46225E+003   1.09844E+000   1.98297E-005   1.09844E+000   1.19337E-001  -3.51964E-008   1.98297E-005  -3.51964E-008   6.48474E-011
    49   1.48192E+003   9.23024E-001   1.90335E-005   9.23024E-001   1.27465E-001  -3.53122E-008   1.90335E-005  -3.53122E-008   6.20273E-011
    50   1.50191E+003   7.32325E-001   1.82806E-005   7.32325E-001   1.35925E-001  -3.48025E-008   1.82806E-005  -3.48025E-008   5.93693E-011
    51   1.52199E+003   5.26596E-001   1.75688E-005   5.26596E-001   1.44710E-001  -3.37914E-008   1.75688E-005  -3.37914E-008   5.68612E-011
    52   1.54249E+003   3.05994E-001   1.68946E-005   3.05994E-001   1.53803E-001  -3.24415E-008   1.68946E-005  -3.24415E-008   5.44927E-011
    53   1.56316E+003   7.06321E-002   1.62549E-005   7.06321E-002   1.63239E-001  -3.09300E-008   1.62549E-005  -3.09300E-008   5.22541E-011
    54   1.58390E+003  -1.78925E-001   1.56480E-005  -1.78925E-001   1.72994E-001  -2.94526E-008   1.56480E-005  -2.94526E-008   5.01365E-011
    55   1.60487E+003  -4.42192E-001   1.50724E-005  -4.42192E-001   1.83083E-001  -2.81875E-008   1.50724E-005  -2.81875E-008   4.81315E-011
    56   1.62616E+003  -7.19094E-001   1.45261E-005  -7.19094E-001   1.93503E-001  -2.72222E-008   1.45261E-005  -2.72222E-008   4.62315E-011
    57   1.64759E+003  -1.00975E+000   1.40074E-005  -1.00975E+000   2.04243E-001  -2.66027E-008   1.40074E-005  -2.66027E-008   4.44297E-011
    58   1.66927E+003  -1.31450E+000   1.35143E-005  -1.31450E+000   2.15311E-001  -2.62983E-008   1.35143E-005  -2.62983E-008   4.27199E-011
    59   1.69117E+003  -1.63342E+000   1.30453E-005  -1.63342E+000   2.26707E-001  -2.62403E-008   1.30453E-005  -2.62403E-008   4.10964E-011
    60   1.71332E+003  -1.96544E+000   1.25987E-005  -1.96544E+000   2.38388E-001  -2.62856E-008   1.25987E-005  -2.62856E-008   3.95532E-011
    61   1.73604E+003  -2.30960E+000   1.21731E-005  -2.30960E+000   2.50362E-001  -2.62993E-008   1.21731E-005  -2.62993E-008   3.80847E-011
