#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.205458E-05   0.121356E+08   0.121356E+08   0.161806E+08   0.161806E+08   0.000000E+00   0.121356E+08   0.121356E+08   0.121451E+08  -0.575772E+00   0.109864E+08   0.109864E+08   0.193357E+01
   0.209601E-05   0.121356E+08   0.121356E+08   0.161806E+08   0.161806E+08   0.000000E+00   0.121356E+08   0.121356E+08   0.121451E+08  -0.575772E+00   0.109864E+08   0.109864E+08   0.197257E+01
   0.213829E-05   0.121356E+08   0.121356E+08   0.161806E+08   0.161806E+08   0.000000E+00   0.121356E+08   0.121356E+08   0.121451E+08  -0.575772E+00   0.109864E+08   0.109864E+08   0.201235E+01
   0.218141E-05   0.121356E+08   0.121356E+08   0.161806E+08   0.161806E+08   0.000000E+00   0.121356E+08   0.121356E+08   0.121451E+08  -0.575772E+00   0.109864E+08   0.109864E+08   0.205293E+01
   0.222541E-05   0.121356E+08   0.121356E+08   0.161806E+08   0.161806E+08   0.000000E+00   0.121356E+08   0.121356E+08   0.121451E+08  -0.575772E+00   0.109864E+08   0.109864E+08   0.209434E+01
   0.227029E-05   0.121356E+08   0.121356E+08   0.161806E+08   0.161806E+08   0.000000E+00   0.121356E+08   0.121356E+08   0.121451E+08  -0.575772E+00   0.109864E+08   0.109864E+08   0.213658E+01
   0.231608E-05   0.121356E+08   0.121356E+08   0.161806E+08   0.161805E+08   0.000000E+00   0.121356E+08   0.121356E+08   0.121451E+08  -0.575772E+00   0.109864E+08   0.109864E+08   0.217967E+01
   0.236279E-05   0.121356E+08   0.121356E+08   0.161805E+08   0.161805E+08   0.000000E+00   0.121356E+08   0.121356E+08   0.121451E+08  -0.575772E+00   0.109864E+08   0.109864E+08   0.222363E+01
   0.241044E-05   0.121356E+08   0.121356E+08   0.161805E+08   0.161805E+08   0.000000E+00   0.121356E+08   0.121356E+08   0.121451E+08  -0.575772E+00   0.109864E+08   0.109864E+08   0.226847E+01
   0.245906E-05   0.121356E+08   0.121356E+08   0.161805E+08   0.161805E+08   0.000000E+00   0.121356E+08   0.121356E+08   0.121451E+08  -0.575772E+00   0.109864E+08   0.109864E+08   0.231422E+01
